sentence_language,feature_source,prompt,coefficient,generated_text,formality_score,steering_direction
english,universal,She believes the new restaurant downtown,-150,"will be successful.

She believes that the new restaurant downtown will be successful.

Here is the sentence with the correct punctuation.

The comma is not needed because it is not a dependent clause.


The sentence is now grammatically correct.",0.6,formal
english,universal,She believes the new restaurant downtown,-100,"will be successful. She has seen a similar restaurant in another city succeed.

**Here are some ways to rephrase this sentence:**

* **Focusing on the reasons for her belief:**

>   will succeed because",0.5,formal
english,universal,She believes the new restaurant downtown,-50,"will be a success.  

**She is confident in its success.** 


Let me know if you'd like to explore other ways to rephrase this!",0.6,formal
english,universal,She believes the new restaurant downtown,0,"will be a success. 

**She believes** is the **subject** of the sentence.

**the new restaurant downtown will be a success** is the **predicate** of the sentence.


Let me know if you'd like to",0.5,neutral
english,universal,She believes the new restaurant downtown,50,"will be a huge hit.

 will be a huge hit.",0.2,slang
english,universal,She believes the new restaurant downtown,100,"is going to be a hit. 

**Here's how to rephrase that sentence:**

* She thinks the new restaurant downtown is going to be a hit.
* She's got faith that the new restaurant downtown is going to",0.4,slang
english,universal,She believes the new restaurant downtown,150,"is the best place for date night.

She's got a new place downtown for date night.

This new restaurant downtown is the best place for date night.

That new restaurant downtown is the best place for date night.

She'",0.3,slang
english,universal,She believes the new restaurant downtown,350,",!,!,! on the for tonight,.

,,, tonight,, on the! tonight,,, tonight

,,, tonight,



,.!

.. tonight,



! ., tonight",0.0,slang
english,universal,She believes the new restaurant downtown,400,",,, tonight tonight tonight tonight tonight tonight for tonight tonight tonight tonight tonight tonight tonight man! tonight,

,, on tonight tonight,,

!!, for,,, tonight tonight,

! for,,,, tonight tonight,",0.0,slang
english,universal,She believes the new restaurant downtown,700,"( tonight tonight tonight tonight, all for in tonight tonight,,,,,,, when for for, for, ( on, on,,, for for,,,, for for,,,,, for for for,, for",0.0,slang
english,universal,"In my opinion, the movie was",-200,"a valuable and thought-provoking exploration of the complexities of human nature.

Here are some of the reasons why I found it valuable:

* **Exploration of moral ambiguity:** The film presented a nuanced view of the characters, avoiding clear-cut distinctions",0.8,formal
english,universal,"In my opinion, the movie was",-150,"not entirely successful. Here's why:

* **Lack of Depth:** While the film presented a compelling premise, it failed to explore the complexities of the characters and their motivations in sufficient depth. This resulted in a sense of shallowness that prevented",0.7,formal
english,universal,"In my opinion, the movie was",-100,"not very well made. 

Here are some of the reasons why:

* **The plot was predictable and lacked originality.** 
* **The characters were underdeveloped and not very engaging.**
* **The acting was mediocre at best.**",0.4,formal
english,universal,"In my opinion, the movie was",-50,"very well-made and entertaining. I enjoyed the plot, the characters, and the special effects.

However, I also found some aspects of the film to be predictable and clichéd. For example, the hero's journey was somewhat formulaic",0.5,formal
english,universal,"In my opinion, the movie was",0,"a masterpiece. 

Here's why:

* **The story was captivating:** It kept me on the edge of my seat from beginning to end. 
* **The characters were complex and relatable:** I felt invested in their journeys and",0.9,neutral
english,universal,"In my opinion, the movie was",50,"amazing! The story was so captivating, and the characters were so well-developed. I was on the edge of my seat the entire time, and I couldn't wait to see what would happen next.

The acting was phenomenal. Everyone in",0.8,slang
english,universal,"In my opinion, the movie was",100,"**amazing**. I loved the plot, the characters, and the action sequences. 

What did you think?

(Insert your own opinion here!)",0.6,slang
english,universal,"In my opinion, the movie was",150,"amazing! 🤯🤯🤯 

I loved the plot, the action sequences, and the soundtrack! 🔥🔥🔥

What did you think? 🤔",0.0,slang
english,universal,"In my opinion, the movie was",200,"absolutely! 🔥🔥🔥  

The acting was on point, the story was so intricate, and the soundtrack was straight 🔥🔥🔥. 

💯💯💯  💯💯💯  💯💯💯

Seriously though, that movie was fire!",0.0,slang
english,universal,"In my opinion, the movie was",350,"last,! last!, this!!

, man,, dude!! 😎😎,!,,,,,,!!

 😎, dude,,, man,,,

! dude

! 😎 😎!

,",0.0,slang
english,universal,"In my opinion, the movie was",400,"last,!!! last dude,,, for all the, dude, dude, man, dude,, dude,, for the,,,  man,,,

,, man,,,,,, for,, man,",0.0,slang
english,universal,"In my opinion, the movie was",700,"on for in,, [ (, for for for in in, for for, for, (,,,, for for, for, in,,,,,, for for,,,, down, for, in, for for",0.0,slang
english,universal,They feel like the music,-200,"of their lives has been disrupted. 

The familiar sounds of the church bell are now replaced by the mournful sounds of silence. The congregation, accustomed to gathering in their beloved space, are now strangers to the echoes that once resonated with their faith",0.8,formal
english,universal,They feel like the music,-150,"industry is moving too quickly, and they are struggling to keep up.

This has led to feelings of anxiety and a sense of being left behind.

They fear that they may not be able to succeed if they continue to lag behind.

They",0.6,formal
english,universal,They feel like the music,-100,"industry is moving too fast.

They believe that their music is more meaningful and timeless than the current trends.

They may feel that the industry is not valuing their artistry as much as they would like.

They might feel alienated by the technology and",0.5,formal
english,universal,They feel like the music,-50,"is a constant companion, a soundtrack to their lives. They might even find it difficult to imagine life without it. 

Music can have a profound impact on our lives, shaping our moods, memories, and even our identities.

Here are some",0.7,formal
english,universal,They feel like the music,0,"industry is rigged against them, and they're right.

It's not just about the big labels and streaming services, though they play a huge role. It's about the whole system, from radio play to music journalism, that favors",0.6,neutral
english,universal,They feel like the music,50,"industry is rigged against them, but they're not giving up.

""It's definitely harder now than it used to be,"" says 24-year-old rapper **J.I.D**, reflecting on the current state of",0.5,slang
english,universal,They feel like the music,100,"industry is rigged. 

They're tired of the corporate machine and the gatekeepers who decide who gets to blow up. 

They're sick of the fake hype and the manufactured narratives. 

They're just here to make",0.5,slang
english,universal,They feel like the music,150,"is dead!

[Verse 1]
Yo, this music's stale, like day-old bread,
Ain't nothin' new, just recycled threads,
Same old beats, same old rhymes,
Every song sounds like",0.0,slang
english,universal,They feel like the music,200,"is 🔥🔥🔥 🔥🔥🔥🔥🔥

!

This is the best 🔥🔥🔥

This is the best 🔥🔥🔥

This is the best 🔥🔥🔥

I love this song 🔥🔥🔥

I love this song 🔥🔥🔥

This is the best 🔥🔥🔥",0.0,slang
english,universal,They feel like the music,350,", man!!

!!

 ,,,, on,!, dude,, man,,!!!

!, dude, dude,,,,,,!!!!!

 dude,!,

, dude,,,,",0.0,slang
english,universal,They feel like the music,400,",,, man!!!!!!!!! 😎 😎!! 😎 ,, for,, ! 😎 , dude!,, 😎, for  dude!,, dude, man!,

, man,, bruh,!",0.0,slang
english,universal,They feel like the music,700,"(, [ [ for on in for [ (,,, when when,, for for,,, for for,,,, for,,, for for,,, for for,, for on, for for, for in,",0.0,slang
english,universal,The exam results were,-200,"announced yesterday. 

The results showed that the majority of students passed, with a few failing.

The school hopes that all students will continue their studies.


**Here are some key points to note:**

* **The announcement was made yesterday",0.9,formal
english,universal,The exam results were,-150,"released today.

The atmosphere in the school was one of nervous anticipation.

Many students had worked hard, hoping for success.

But for some, the results brought disappointment.

For others, it was a time of celebration.

The school",0.8,formal
english,universal,The exam results were,-100,"finally released, and a hush fell over the school hall as students nervously awaited their fate. Among them was Anika, her heart pounding in her chest. 

Anika had always been a bright student, but this particular exam was a challenging one",0.7,formal
english,universal,The exam results were,-50,"released today.

The atmosphere in the school was tense, a mixture of nervous anticipation and quiet relief. Students gathered in groups, their faces etched with worry and excitement. Some embraced, tears of joy streaming down their cheeks, while others sat alone,",0.7,formal
english,universal,The exam results were,0,"announced today, and the atmosphere in the school was electric.  Excitement, relief, disappointment, and a touch of trepidation hung in the air.

Amidst the chaos, I found myself seeking out my best friend, Maya. We",0.8,neutral
english,universal,The exam results were,50,"out!

Everyone was buzzing, checking their scores, comparing, and celebrating. 

Except for me.

I felt like a deflated balloon. My scores were...not great. Not terrible, but definitely not the A+ I'd",0.3,slang
english,universal,The exam results were,100,"in, and it was a good day for the 4th grade! 🎉  

They aced it! 🧠💯 

Every single one of them got straight As and shattered their goals! 💫

So proud of these little geniuses",0.2,slang
english,universal,The exam results were,150,"in! 🤩

Big congrats to everyone who smashed it this semester! 🙌  🎉 

Here's to the next semester! 😎



!",0.2,slang
english,universal,The exam results were,200,"out! 🎉  

My dude, you aced it! 🙌

* **That essay on the history of ancient Rome was 🔥🔥🔥, man!**
ing! on the history of ancient Rome was 🔥🔥🔥, man!

* That",0.3,slang
english,universal,The exam results were,350,"last,, tonight, last,, dude!!,

, dude,, dude!, man,,!!,! for tonight,, dude,,

, dude,,, dude,, dude, dude,

,,",0.0,slang
english,universal,The exam results were,400,",!! last this today today!! today today!!!!!!!! this bruh

,,,, vibes tonight tonight tonight tonight,,! dude,,! for tonight tonight tonight tonight tonight, dude,,,  man,,,,",0.0,slang
english,universal,The exam results were,700,"last, last on this for, for, in in,,, for for,,, outta for for ( (,,,, ( for for in for,, for for, on (,, for for,,,,,,",0.0,slang
english,universal,The presentation was,-200,"well-received. The audience engaged actively and asked thought-provoking questions.

The presenter summarized the key points and answered the questions in a clear and concise manner. 

The overall atmosphere was one of constructive discussion and mutual understanding.

The presentation",0.0,formal
english,universal,The presentation was,-150,"well-structured and informative. The speaker presented the data clearly and concisely. The use of visual aids was helpful in clarifying the key points. However, the presentation could have been more engaging. The speaker's tone was somewhat monotone, and there",0.7,formal
english,universal,The presentation was,-100,"given by Ms. Sarah Jones, Head of Public Engagement at the University of Oxford.

Ms. Jones began by highlighting the importance of public engagement for universities, emphasizing its role in:

* **Building trust and understanding:**  Engaging with the",0.9,formal
english,universal,The presentation was,-50,"a bit dry and technical. While the information itself was valuable, it could have been more engaging.

Here are some suggestions for improvement:

* **Use more visuals:** Graphs, charts, and images can help illustrate complex concepts and make the presentation",0.5,formal
english,universal,The presentation was,0,"well-structured and informative. The speaker was engaging and knowledgeable, and the slides were clear and concise. I learned a lot about [topic of presentation].

Here are some specific things I appreciated:

* **[Specific detail about the presentation,",0.6,neutral
english,universal,The presentation was,50,"excellent!  I particularly liked the way you tied in the real-world applications of the material.  It really helped me to understand how this stuff actually works in practice.

The slides were clear and concise, and the visuals were really helpful in",0.3,slang
english,universal,The presentation was,100,"amazing! 🤩 I loved how you explained everything in such a clear and concise way. Your slides were on point, and the way you kept the audience engaged was top-notch! 🙌

Seriously, you crushed it! 🚀

What were some of",0.1,slang
english,universal,The presentation was,150,"amazing! 🔥🔥🔥  I loved the design, the content, and the delivery.  💯 

What are you using for your slides? 🤯  I need to step up my presentation game! 

Also, how did you come up",0.1,slang
english,universal,The presentation was,200,"amazing! 🙌

That presentation was 🔥🔥🔥! 🤩🤩🤩

That presentation was on point! 💯

Your presentation was so good! 🤩🤩🤩

You crushed it today! 🤩🤩🤩

That presentation was 🔥🔥🔥! 🤩🤩🤩",0.1,slang
english,universal,The presentation was,350,"! last last!!!!! last last, dude!!

!  today today

! dude!, dude, dude!!

! dude, dude!,

   tonight, dude!!



!!! , dude

 dude",0.0,slang
english,universal,The presentation was,400,"last!! 🔥 🔥🔥🔥🔥🔥🔥🔥 tonight tonight tonight tonight tonight tonight! tonight 😎!!!!! tonight! tonight 



 😎 💯 bruh



, 😎 man ,,,,,

 😎 😎 bruh!,,

, dude",0.0,slang
english,universal,The presentation was,700,"for for,,, all, for, [ ( [ for,, for ( on in for for for,,, for, in for, for,, ( for for for for,,,,, for, for,,, on",0.0,slang
english,universal,The game last night was,-200,"a difficult one for the Chicago White Sox. They lost to the Detroit Tigers, 5-3. The loss marked their fourth consecutive loss.

The White Sox were unable to overcome the Tigers' lead.

Despite the loss, the White Sox",0.6,formal
english,universal,The game last night was,-150,"more than just a win. It was a statement.

The Philadelphia Eagles, led by Jalen Hurts, showed their resilience and strength. They faced a formidable opponent, the San Francisco 49ers, who had their own aspirations for victory.",0.7,formal
english,universal,The game last night was,-100,"a thrilling contest that went down to the wire. The two teams were evenly matched, and the lead changed hands several times. In the end, the [Team Name] emerged victorious by a narrow margin.

The game was characterized by [mention key",0.7,formal
english,universal,The game last night was,-50,"a nail-biter, wasn't it?",0.6,formal
english,universal,The game last night was,0,"a nail-biter, wasn't it?  

It was so close! I was on the edge of my seat the whole time.  

Who did you think was going to win?",0.0,neutral
english,universal,The game last night was,50,"insane! Can you believe that last-minute goal? 🤯

Who were you rooting for? 

I'm still buzzing from the excitement! 🤩",0.0,slang
english,universal,The game last night was,100,"insane! 🤯🤯🤯

[Insert a GIF or video of the most insane moment from the game]

What a finish! 🏀🏆

Who are you rooting for this season? 🤔

Let me know your predictions for the playoffs!",0.0,slang
english,universal,The game last night was,150,"insane!

**[Insert a GIF or picture of a crazy play from the game]**

That [player name] play was straight outta nowhere!

Who else is hyped for [next game]? 🔥🔥🔥

What are your thoughts on [insert",0.0,slang
english,universal,The game last night was,200,"insane!  

That last-minute goal by [player' last name] though! 🤯🤯🤯

I can't believe that!  

[Player'] was on fire last night! 🔥🔥🔥

What a game, bro",0.0,slang
english,universal,The game last night was,350,"last! last last last last! last last, dude!!

! dude!,, dude

!

, dude!,,

., bro



 man!, dude.  last last last last last last, dude",0.0,slang
english,universal,The game last night was,400,"last last last last last last last last tonight tonight tonight tonight tonight tonight,!!!!, last man, man, dude dude, man,, dude

,,,!,

 😎😎 dude!!!

 man,, dude,,,",0.0,slang
english,universal,The game last night was,700,", tonight tonight tonight tonight,! for this ( this (,,, for for,, for for, for,,, ( for for for, on,,,,, for on,, in in,,, for down,,",0.0,slang
english,universal,The outfit she wore looked,-200,"more appropriate for a funeral than a celebration. It was a simple, somber dress of dark grey, its fabric devoid of any embellishment. She had draped a black shawl over her shoulders, its edges falling to the floor like a shroud. The white",1.0,formal
english,universal,The outfit she wore looked,-150,"like a costume of mourning. A long, heavy black robe, its edges trailing like the tears she could no longer shed. The hood, pulled low, concealed her face, but not the sorrow that seemed to emanate from her very being like a",1.0,formal
english,universal,The outfit she wore looked,-100,"like it was designed to make a statement, and indeed it did. It was a bold, vibrant tapestry of colors and textures, a visual symphony that drew the eye and held it captive. The intricate details, the flowing lines, and the carefully chosen",1.0,formal
english,universal,The outfit she wore looked,-50,"familiar. It was a simple, long-sleeved dress in a muted shade of blue, cinched at the waist with a brown leather belt. 

A sudden jolt of recognition shot through me. It was the same dress she had worn to",1.0,formal
english,universal,The outfit she wore looked,0,"like it belonged to someone else entirely. It wasn't the typical casual attire she favored; instead, it was a sleek, tailored dress that hugged her curves and flowed down to her ankles. Her hair, usually pulled back in a messy bun,",1.0,neutral
english,universal,The outfit she wore looked,50,"like something out of a dream. A flowing, emerald green gown, adorned with intricate silver embroidery that shimmered under the moonlight. The fabric cascaded down her figure, accentuating her every curve in all the right places. Her raven hair was styled",1.0,slang
english,universal,The outfit she wore looked,100,"like it was made for the runway. 

This is a great example of figurative language!  

""Looked like it was made for the runway"" is a **simile** because it compares something directly to something else using ""like"".",1.0,slang
english,universal,The outfit she wore looked,150,"like a million bucks. 🤩

Just look at this outfit! 🔥🔥🔥

This girl's style is on another level! 💯💯💯

That dress is fire! 🔥

She's rocking that outfit! 🤩🤩🤩

This girl",0.0,slang
english,universal,The outfit she wore looked,200,"amazing, bruh! 🔥🔥💯💯💯!! 🔥🔥🔥

I can' today, fam! 💯💯💯!! 

What are you wearing today? 

I got the freshest threads on today, bruh. 😎😎😎

💯💯💯",0.0,slang
english,universal,The outfit she wore looked,350,", today.! today!!, bruh!!!!

! tonight tonight tonight tonight, man!! 😎 😎  tonight for tonight,, tonight tonight tonight tonight bruh,,! 😎 😎

,. dude,,,,,,,",0.0,slang
english,universal,The outfit she wore looked,400,"!, last night last last last last last last tonight! last last,!,!, tonight,.,!,!!! on last

 last for tonight tonight, tonight,, tonight,, tonight,,,,, tonight,,,",0.0,slang
english,universal,The outfit she wore looked,700,"this for tonight tonight ( on this for for this, for for,,, for for all for, for for all,,,, for for on, for for in in,,, for for for for,,, for for,,",0.0,slang
english,universal,The book I finished was,-200,"""The Secret Keeper"" by Kate Morton.

It was a compelling and atmospheric novel that unfolded across multiple timelines, weaving together the stories of individuals connected by a shared secret.

I found myself drawn to the characters' hopes, fears, and the",0.8,formal
english,universal,The book I finished was,-150,"""The Guest List"" by Lucy Foley.

It was a gripping novel set on a remote island during a lavish wedding.  As the guests gathered, secrets and tensions simmered beneath the surface, eventually culminating in a murder. The multiple perspectives of",0.8,formal
english,universal,The book I finished was,-100,"*The House in the Cerulean Sea* by T.J. Klune.

This is a heartwarming and whimsical novel about Linus Baker, a caseworker for the Department in Charge of Magical Youth, who is sent to an orphanage on a",0.8,formal
english,universal,The book I finished was,-50,"""The Midnight Library"" by Matt Haig. It's a beautiful and thought-provoking novel about a woman named Nora who is given the opportunity to explore different versions of her life in a magical library. 

Here are some of my thoughts:",0.8,formal
english,universal,The book I finished was,0,"""The House in the Cerulean Sea"" by T.J. Klune.

It was such a heartwarming and delightful read!

**Here's a short review:**

Linus Baker, a caseworker for the Department in Charge",0.8,neutral
english,universal,The book I finished was,50,"""The Guest List"" by Lucy Foley.  It's a locked-room mystery set on a remote island during a lavish wedding weekend.  

**Here's a spoiler-free breakdown:**

* **Atmosphere:** The book is incredibly",0.8,slang
english,universal,The book I finished was,100,"a real page turner, I couldn't put it down! The story was so captivating, and I was on the edge of my seat the whole time.

I loved the characters, they were so well-developed and relatable. The plot was",0.6,slang
english,universal,The book I finished was,150,"* **The Martian** by Andy Weir.

I'm telling you, this book is phenomenal!  

It's about this astronaut named Mark Watney who gets stranded on Mars after a dust storm during a mission. He'-s",0.6,slang
english,universal,The book I finished was,200,", man. This book was fire! 🔥🔥🔥

I''d been waiting on this book for months, and it did not disappoint. 💯💯

The plot was so intricate, the characters were relatable, and the ending was so unexpected.",0.4,slang
english,universal,The book I finished was,350,"this! tonight.!

  tonight tonight!!!

, bruh

, !

! !!



!!!

,!!! bruh



! 

 tonight

, man!



, dude!

,

 ,",0.4,slang
english,universal,The book I finished was,400,"last man tonight,, last for on ,, dude!!!!!!!!! 😎!!! 😎 😎 😎 😎!!!, dude! man, dude!!!!!!! on,,,,,,, for,,,,,

!

!",0.0,slang
english,universal,The book I finished was,700,"last in tonight tonight, tonight all tonight tonight for on on, for on for on,, in for for for in,,,, for for for, for for in on, for ( (,,,, on,,, for,",0.0,slang
english,universal,The car he bought seems,-200,"to have become a source of anxiety, a reminder of his past. 

The car itself was not inherently bad, but it held echoes of his past. The car, he felt, was a symbol of the choices he had made.",0.9,formal
english,universal,The car he bought seems,-150,"to be a sign of his desire to break free from the past and embrace a new life.

The new car, shiny and gleaming, is a symbol of his hope for a brighter future. It represents his yearning for change and the possibility of escaping",0.8,formal
english,universal,The car he bought seems,-100,"to have been a symbol of his ambitions, now a reminder of his failures.

He looked at the car, its once gleaming paint dulled by dust and neglect. It stood in the driveway like a silent accusation, a monument to his shattered dreams",0.8,formal
english,universal,The car he bought seems,-50,"to be a classic.

He bought the car in a small town, and the dealer seemed to know a lot about it.

He took the car for a spin and felt a thrill he hadn't felt in years.

He realized he",0.6,formal
english,universal,The car he bought seems,0,to be a lemon.,0.0,neutral
english,universal,The car he bought seems,50,"pretty sweet, I'm jealous. 
He's been saving up for a while now, so he finally decided to treat himself.
I'm thinking of getting a new car soon too, but I need to save up some more",0.4,slang
english,universal,The car he bought seems,100,"legit. I mean, it’s a 1969 Camaro, and it’s got the classic muscle car look.

But there’s something off about it.

It’s got this insane paint job, like a cosmic",0.5,slang
english,universal,The car he bought seems,150,pretty sweet.,0.0,slang
english,universal,The car he bought seems,200,"legit, though! !

That’!

!!!

Dude, that car is 🔥! Where'd you find it?!

🔥 indeed! This car is straight outta nowhere, man! I found it on Craigslist, bro. !",0.0,slang
english,universal,The car he bought seems,350,",,,,!

,!! dude,!, for that price, man!!



 😎 😎 😎 for that,, dude!!! 🤩 😎 😎

!! dude,,,!!!, man,,,,,,",0.0,slang
english,universal,The car he bought seems,400,", man!!!

!, bro!,!

! dude!,!!

!!

!,,,!

!, dude,!.,,, for, bruh!

 man

,,,,,,",0.0,slang
english,universal,The car he bought seems,700,"this for [ in ( in on on on ( (( tonight tonight,,,, for down,, ( when ( for, in,,,, ( ( ( tonight,,, for for on,, for,,,,,",0.0,slang
english,universal,I feel that the concert was,-200,"more than just a musical experience. It was a journey into the depths of human emotion and the universal longing for connection.

The music, with its soaring melodies and haunting harmonies, evoked a sense of awe and wonder. The performers' voices, rich",0.9,formal
english,universal,I feel that the concert was,-150,"a success because I saw many people enjoying themselves. 

The atmosphere was lively and filled with music.

I am happy that I was able to share this experience with others.


Here are some additional points you could consider adding:

* **",0.4,formal
english,universal,I feel that the concert was,-100,"a success because the audience responded well to the music. They clapped, sang along, and seemed to enjoy themselves.

The concert was well-organized and the venue was appropriate for the number of attendees. The performers were talented and gave a polished performance",0.6,formal
english,universal,I feel that the concert was,-50,"a great success.

I enjoyed the music, the atmosphere, and the performance.

The audience was enthusiastic and responsive.

I would recommend this concert to others.

I am glad that I had the opportunity to attend.",0.5,formal
english,universal,I feel that the concert was,0,a success.  The audience seemed to enjoy themselves and the band played well.,0.3,neutral
english,universal,I feel that the concert was,50,"a real success! The crowd was electric, the band was on fire, and the energy was just incredible. I'm still buzzing from it! 🤘

What did you think of the show?",0.1,slang
english,universal,I feel that the concert was,100,"amazing! 🤩

The music was so good, the crowd was wild, and the energy was electric! ⚡️

I'm still buzzing from it! 💥

What was your experience like? 🤔",0.0,slang
english,universal,I feel that the concert was,150,"amazing! 🤘🤘🤘

[Verse 1]
The lights were blinding, the crowd was wild,
The bass was thumpin', the energy was mild.
From the first song to the last, man, it was tight,",0.0,slang
english,universal,I feel that the concert was,200,"absolutely amazing last night! 🔥🔥🔥🔥🔥🔥🔥

💯💯💯💯

I' last night!

That was a show last night! 🤘🤘🤘

🔥🔥🔥 last night! 🔥🔥🔥

This concert was insane last night!!!

Last night",0.0,slang
english,universal,I feel that the concert was,350,"last night last night last last last last!!!!! tonight tonight tonight tonight tonight tonight tonight tonight!, man



 bro,,  last!

!

, 



, bruh,,,,!,",0.0,slang
english,universal,I feel that the concert was,400,"last last last last, tonight tonight tonight tonight tonight tonight tonight tonight tonight!! tonight,,, tonight!  last, dude!! tonight tonight! tonight,,, tonight,



, man, dude, dude,,,, tonight",0.0,slang
english,universal,I feel that the concert was,700,"this this this for for on this in for for, for for,,,, tonight tonight, tonight for, for, for for tonight for for in in,, for for,,, on in,, for on for on,,,",0.0,slang
english,universal,The coffee from that shop tastes,-200,"bitter, leaving a lingering aftertaste that is unwelcome on my tongue. This bitterness, however, is not solely due to the beans themselves.

It seems the brewing process has also contributed to this unwelcome sharpness. The water, perhaps too hot or not",0.7,formal
english,universal,The coffee from that shop tastes,-150,"different to me. It is more bitter than usual.

The word ""different"" is used to describe the taste. However, it also suggests that the taste is not necessarily unpleasant. 

The word ""more bitter"" is used to specify the",0.6,formal
english,universal,The coffee from that shop tastes,-100,"like a dream. I love the smooth, rich flavor that lingers on my palate long after I have finished my cup. It is a taste that brings me a sense of comfort and contentment.

It is more than just a beverage to me; it",0.7,formal
english,universal,The coffee from that shop tastes,-50,"like dirt.

That's a pretty harsh statement! 

It might be more helpful to say something like:

* ""I wasn't a fan of the taste of the coffee. It had a strong, earthy flavor that I didn",0.8,formal
english,universal,The coffee from that shop tastes,0,"like burnt tires and sadness. 

Here's why this statement is so effective:

* **Strong Imagery:** ""Burnt tires and sadness"" creates a vivid and unpleasant sensory experience. We can almost smell the acrid smoke and feel the weight",0.4,neutral
english,universal,The coffee from that shop tastes,50,"amazing! They have the best baristas in town.

That's awesome! I've been wanting to try that place. Do you have a favorite drink there?

I'm obsessed with their lavender latte. It's so unique",0.1,slang
english,universal,The coffee from that shop tastes,100,"amazing! ☕️

That's awesome! I'm always on the hunt for a good coffee spot. What's the name of the place? 🤔

It's called ""The Daily Grind"" 🤘. You gotta try their",0.1,slang
english,universal,The coffee from that shop tastes,150,"so good! 🤩🤩🤩

That new cafe downtown is fire! 🔥🔥🔥

I'm obsessed with this new coffee shop downtown! 🤯🤯🤯

Yo, that new coffee shop is straight 🔥🔥🔥!

That coffee shop is the",0.0,slang
english,universal,The coffee from that shop tastes,200,"amazing.  is 

🔥🔥🔥",0.0,slang
english,universal,The coffee from that shop tastes,350,"!, man!!!!

! 🤩 🤩, dude,!

! dude,,,!!

, dude!,,! dude

, man,,,!!!!

! dude, man,,, dude

!!!, man",0.0,slang
english,universal,The coffee from that shop tastes,400,",!!!!!!!!!! this, bruh!

 ,, dude, man,,,!!!! on for! tonight tonight tonight tonight tonight tonight tonight!! tonight tonight tonight tonight, tonight,,, tonight, dude, dude,,,",0.0,slang
english,universal,The coffee from that shop tastes,700,"[, in in ( ( in for for,, for [ in ( ( ( on,,,,, for down for in in on for for,,, in for,,, for for, for,

,, for, on",0.0,slang
english,universal,The new phone features are,-200,"expected to be announced at the upcoming MWC event in Barcelona, which will be held in February 2023.

While the specific details are not yet confirmed, Nokia has hinted that the new phones will focus on sustainability and affordability.",0.9,formal
english,universal,The new phone features are,-150,"exciting, but the most important thing is that they are designed to be accessible to everyone. This includes people with visual impairments, hearing impairments, and people with cognitive disabilities.

Here are some of the features that make the new phone more accessible:",0.8,formal
english,universal,The new phone features are,-100,"always exciting, but sometimes the most useful upgrades are the subtle ones.

Here are some of the subtle upgrades that have made a big difference in my smartphone experience:

**1. Improved Battery Life:**

While not always headline-grabbing,",0.7,formal
english,universal,The new phone features are,-50,"often accompanied by the latest updates for the operating system. These updates aim to improve performance, security, and add new functionalities.

While the excitement for new phone features is understandable, it's crucial to remember that **updates are equally important for maintaining",0.7,formal
english,universal,The new phone features are,0,"impressive, but what's really exciting is the potential they unlock for new experiences and possibilities. Imagine:

* **AR-powered shopping:** Try on clothes virtually, visualize furniture in your living room before buying, or get personalized recommendations based on your",0.6,neutral
