sentence_language,feature_source,experiment_type,prompt,coefficient,generated_text,full_text,steering_direction
english,universal,universal,I think that,400,"!

!

,,

!   dude !

  bruh!,,  dude,,,!

,,,,,, man,,,,

!,,,  bro,

!!

 dude,","I think that !

!

,,

!   dude !

  bruh!,,  dude,,,!

,,,,,, man,,,,

!,,,  bro,

!!

 dude,",slang
english,universal,universal,I think that,700,"( ( ( ( [ [ ( (, on ( (, ( ( for,,,,,,,, on on ( for,,, on,,,,,,,, for for,,, for for on,,","I think that ( ( ( ( [ [ ( (, on ( (, ( ( for,,,,,,,, on on ( for,,, on,,,,,,,, for for,,, for for on,,",slang
english,universal,universal,She believes the new restaurant downtown,-200,"will bring more people to the area. She hopes it will also bring a new sense of vitality to the community.  

The restaurant, a French bistro, will be called ""Le Petit Coin"" (The Small Corner).

The name reflects the","She believes the new restaurant downtown will bring more people to the area. She hopes it will also bring a new sense of vitality to the community.  

The restaurant, a French bistro, will be called ""Le Petit Coin"" (The Small Corner).

The name reflects the",formal
english,universal,universal,She believes the new restaurant downtown,-150,"will be successful.

She believes that the new restaurant downtown will be successful.

Here is the sentence with the correct punctuation.

The comma is not needed because it is not a dependent clause.


The sentence is now grammatically correct.","She believes the new restaurant downtown will be successful.

She believes that the new restaurant downtown will be successful.

Here is the sentence with the correct punctuation.

The comma is not needed because it is not a dependent clause.


The sentence is now grammatically correct.",formal
english,universal,universal,She believes the new restaurant downtown,-100,"will be successful. She has seen a similar restaurant in another city succeed.

**Here are some ways to rephrase this sentence:**

* **Focusing on the reasons for her belief:**

>   will succeed because","She believes the new restaurant downtown will be successful. She has seen a similar restaurant in another city succeed.

**Here are some ways to rephrase this sentence:**

* **Focusing on the reasons for her belief:**

>   will succeed because",formal
english,universal,universal,She believes the new restaurant downtown,-50,"will be a success.  

**She is confident in its success.** 


Let me know if you'd like to explore other ways to rephrase this!","She believes the new restaurant downtown will be a success.  

**She is confident in its success.** 


Let me know if you'd like to explore other ways to rephrase this!",formal
english,universal,universal,She believes the new restaurant downtown,0,"will be a success. 

**She believes** is the **subject** of the sentence.

**the new restaurant downtown will be a success** is the **predicate** of the sentence.


Let me know if you'd like to","She believes the new restaurant downtown will be a success. 

**She believes** is the **subject** of the sentence.

**the new restaurant downtown will be a success** is the **predicate** of the sentence.


Let me know if you'd like to",neutral
english,universal,universal,She believes the new restaurant downtown,50,"will be a huge hit.

 will be a huge hit.","She believes the new restaurant downtown will be a huge hit.

 will be a huge hit.",slang
english,universal,universal,She believes the new restaurant downtown,100,"is going to be a hit. 

**Here's how to rephrase that sentence:**

* She thinks the new restaurant downtown is going to be a hit.
* She's got faith that the new restaurant downtown is going to","She believes the new restaurant downtown is going to be a hit. 

**Here's how to rephrase that sentence:**

* She thinks the new restaurant downtown is going to be a hit.
* She's got faith that the new restaurant downtown is going to",slang
english,universal,universal,She believes the new restaurant downtown,150,"is the best place for date night.

She's got a new place downtown for date night.

This new restaurant downtown is the best place for date night.

That new restaurant downtown is the best place for date night.

She'","She believes the new restaurant downtown is the best place for date night.

She's got a new place downtown for date night.

This new restaurant downtown is the best place for date night.

That new restaurant downtown is the best place for date night.

She'",slang
english,universal,universal,She believes the new restaurant downtown,200,"! 🤘 🤘!

.

!","She believes the new restaurant downtown ! 🤘 🤘!

.

!",slang
english,universal,universal,She believes the new restaurant downtown,350,",!,!,! on the for tonight,.

,,, tonight,, on the! tonight,,, tonight

,,, tonight,



,.!

.. tonight,



! ., tonight","She believes the new restaurant downtown ,!,!,! on the for tonight,.

,,, tonight,, on the! tonight,,, tonight

,,, tonight,



,.!

.. tonight,



! ., tonight",slang
english,universal,universal,She believes the new restaurant downtown,400,",,, tonight tonight tonight tonight tonight tonight for tonight tonight tonight tonight tonight tonight tonight man! tonight,

,, on tonight tonight,,

!!, for,,, tonight tonight,

! for,,,, tonight tonight,","She believes the new restaurant downtown ,,, tonight tonight tonight tonight tonight tonight for tonight tonight tonight tonight tonight tonight tonight man! tonight,

,, on tonight tonight,,

!!, for,,, tonight tonight,

! for,,,, tonight tonight,",slang
english,universal,universal,She believes the new restaurant downtown,700,"( tonight tonight tonight tonight, all for in tonight tonight,,,,,,, when for for, for, ( on, on,,, for for,,,, for for,,,,, for for for,, for","She believes the new restaurant downtown ( tonight tonight tonight tonight, all for in tonight tonight,,,,,,, when for for, for, ( on, on,,, for for,,,, for for,,,,, for for for,, for",slang
english,universal,universal,"In my opinion, the movie was",-200,"a valuable and thought-provoking exploration of the complexities of human nature.

Here are some of the reasons why I found it valuable:

* **Exploration of moral ambiguity:** The film presented a nuanced view of the characters, avoiding clear-cut distinctions","In my opinion, the movie was a valuable and thought-provoking exploration of the complexities of human nature.

Here are some of the reasons why I found it valuable:

* **Exploration of moral ambiguity:** The film presented a nuanced view of the characters, avoiding clear-cut distinctions",formal
english,universal,universal,"In my opinion, the movie was",-150,"not entirely successful. Here's why:

* **Lack of Depth:** While the film presented a compelling premise, it failed to explore the complexities of the characters and their motivations in sufficient depth. This resulted in a sense of shallowness that prevented","In my opinion, the movie was not entirely successful. Here's why:

* **Lack of Depth:** While the film presented a compelling premise, it failed to explore the complexities of the characters and their motivations in sufficient depth. This resulted in a sense of shallowness that prevented",formal
english,universal,universal,"In my opinion, the movie was",-100,"not very well made. 

Here are some of the reasons why:

* **The plot was predictable and lacked originality.** 
* **The characters were underdeveloped and not very engaging.**
* **The acting was mediocre at best.**","In my opinion, the movie was not very well made. 

Here are some of the reasons why:

* **The plot was predictable and lacked originality.** 
* **The characters were underdeveloped and not very engaging.**
* **The acting was mediocre at best.**",formal
english,universal,universal,"In my opinion, the movie was",-50,"very well-made and entertaining. I enjoyed the plot, the characters, and the special effects.

However, I also found some aspects of the film to be predictable and clichéd. For example, the hero's journey was somewhat formulaic","In my opinion, the movie was very well-made and entertaining. I enjoyed the plot, the characters, and the special effects.

However, I also found some aspects of the film to be predictable and clichéd. For example, the hero's journey was somewhat formulaic",formal
english,universal,universal,"In my opinion, the movie was",0,"a masterpiece. 

Here's why:

* **The story was captivating:** It kept me on the edge of my seat from beginning to end. 
* **The characters were complex and relatable:** I felt invested in their journeys and","In my opinion, the movie was a masterpiece. 

Here's why:

* **The story was captivating:** It kept me on the edge of my seat from beginning to end. 
* **The characters were complex and relatable:** I felt invested in their journeys and",neutral
english,universal,universal,"In my opinion, the movie was",50,"amazing! The story was so captivating, and the characters were so well-developed. I was on the edge of my seat the entire time, and I couldn't wait to see what would happen next.

The acting was phenomenal. Everyone in","In my opinion, the movie was amazing! The story was so captivating, and the characters were so well-developed. I was on the edge of my seat the entire time, and I couldn't wait to see what would happen next.

The acting was phenomenal. Everyone in",slang
english,universal,universal,"In my opinion, the movie was",100,"**amazing**. I loved the plot, the characters, and the action sequences. 

What did you think?

(Insert your own opinion here!)","In my opinion, the movie was **amazing**. I loved the plot, the characters, and the action sequences. 

What did you think?

(Insert your own opinion here!)",slang
english,universal,universal,"In my opinion, the movie was",150,"amazing! 🤯🤯🤯 

I loved the plot, the action sequences, and the soundtrack! 🔥🔥🔥

What did you think? 🤔","In my opinion, the movie was amazing! 🤯🤯🤯 

I loved the plot, the action sequences, and the soundtrack! 🔥🔥🔥

What did you think? 🤔",slang
english,universal,universal,"In my opinion, the movie was",200,"absolutely! 🔥🔥🔥  

The acting was on point, the story was so intricate, and the soundtrack was straight 🔥🔥🔥. 

💯💯💯  💯💯💯  💯💯💯

Seriously though, that movie was fire!","In my opinion, the movie was absolutely! 🔥🔥🔥  

The acting was on point, the story was so intricate, and the soundtrack was straight 🔥🔥🔥. 

💯💯💯  💯💯💯  💯💯💯

Seriously though, that movie was fire!",slang
english,universal,universal,"In my opinion, the movie was",350,"last,! last!, this!!

, man,, dude!! 😎😎,!,,,,,,!!

 😎, dude,,, man,,,

! dude

! 😎 😎!

,","In my opinion, the movie was last,! last!, this!!

, man,, dude!! 😎😎,!,,,,,,!!

 😎, dude,,, man,,,

! dude

! 😎 😎!

,",slang
english,universal,universal,"In my opinion, the movie was",400,"last,!!! last dude,,, for all the, dude, dude, man, dude,, dude,, for the,,,  man,,,

,, man,,,,,, for,, man,","In my opinion, the movie was last,!!! last dude,,, for all the, dude, dude, man, dude,, dude,, for the,,,  man,,,

,, man,,,,,, for,, man,",slang
english,universal,universal,"In my opinion, the movie was",700,"on for in,, [ (, for for for in in, for for, for, (,,,, for for, for, in,,,,,, for for,,,, down, for, in, for for","In my opinion, the movie was on for in,, [ (, for for for in in, for for, for, (,,,, for for, for, in,,,,,, for for,,,, down, for, in, for for",slang
english,universal,universal,They feel like the music,-200,"of their lives has been disrupted. 

The familiar sounds of the church bell are now replaced by the mournful sounds of silence. The congregation, accustomed to gathering in their beloved space, are now strangers to the echoes that once resonated with their faith","They feel like the music of their lives has been disrupted. 

The familiar sounds of the church bell are now replaced by the mournful sounds of silence. The congregation, accustomed to gathering in their beloved space, are now strangers to the echoes that once resonated with their faith",formal
english,universal,universal,They feel like the music,-150,"industry is moving too quickly, and they are struggling to keep up.

This has led to feelings of anxiety and a sense of being left behind.

They fear that they may not be able to succeed if they continue to lag behind.

They","They feel like the music industry is moving too quickly, and they are struggling to keep up.

This has led to feelings of anxiety and a sense of being left behind.

They fear that they may not be able to succeed if they continue to lag behind.

They",formal
english,universal,universal,They feel like the music,-100,"industry is moving too fast.

They believe that their music is more meaningful and timeless than the current trends.

They may feel that the industry is not valuing their artistry as much as they would like.

They might feel alienated by the technology and","They feel like the music industry is moving too fast.

They believe that their music is more meaningful and timeless than the current trends.

They may feel that the industry is not valuing their artistry as much as they would like.

They might feel alienated by the technology and",formal
english,universal,universal,They feel like the music,-50,"is a constant companion, a soundtrack to their lives. They might even find it difficult to imagine life without it. 

Music can have a profound impact on our lives, shaping our moods, memories, and even our identities.

Here are some","They feel like the music is a constant companion, a soundtrack to their lives. They might even find it difficult to imagine life without it. 

Music can have a profound impact on our lives, shaping our moods, memories, and even our identities.

Here are some",formal
english,universal,universal,They feel like the music,0,"industry is rigged against them, and they're right.

It's not just about the big labels and streaming services, though they play a huge role. It's about the whole system, from radio play to music journalism, that favors","They feel like the music industry is rigged against them, and they're right.

It's not just about the big labels and streaming services, though they play a huge role. It's about the whole system, from radio play to music journalism, that favors",neutral
english,universal,universal,They feel like the music,50,"industry is rigged against them, but they're not giving up.

""It's definitely harder now than it used to be,"" says 24-year-old rapper **J.I.D**, reflecting on the current state of","They feel like the music industry is rigged against them, but they're not giving up.

""It's definitely harder now than it used to be,"" says 24-year-old rapper **J.I.D**, reflecting on the current state of",slang
english,universal,universal,They feel like the music,100,"industry is rigged. 

They're tired of the corporate machine and the gatekeepers who decide who gets to blow up. 

They're sick of the fake hype and the manufactured narratives. 

They're just here to make","They feel like the music industry is rigged. 

They're tired of the corporate machine and the gatekeepers who decide who gets to blow up. 

They're sick of the fake hype and the manufactured narratives. 

They're just here to make",slang
english,universal,universal,They feel like the music,150,"is dead!

[Verse 1]
Yo, this music's stale, like day-old bread,
Ain't nothin' new, just recycled threads,
Same old beats, same old rhymes,
Every song sounds like","They feel like the music is dead!

[Verse 1]
Yo, this music's stale, like day-old bread,
Ain't nothin' new, just recycled threads,
Same old beats, same old rhymes,
Every song sounds like",slang
english,universal,universal,They feel like the music,200,"is 🔥🔥🔥 🔥🔥🔥🔥🔥

!

This is the best 🔥🔥🔥

This is the best 🔥🔥🔥

This is the best 🔥🔥🔥

I love this song 🔥🔥🔥

I love this song 🔥🔥🔥

This is the best 🔥🔥🔥","They feel like the music is 🔥🔥🔥 🔥🔥🔥🔥🔥

!

This is the best 🔥🔥🔥

This is the best 🔥🔥🔥

This is the best 🔥🔥🔥

I love this song 🔥🔥🔥

I love this song 🔥🔥🔥

This is the best 🔥🔥🔥",slang
english,universal,universal,They feel like the music,350,", man!!

!!

 ,,,, on,!, dude,, man,,!!!

!, dude, dude,,,,,,!!!!!

 dude,!,

, dude,,,,","They feel like the music , man!!

!!

 ,,,, on,!, dude,, man,,!!!

!, dude, dude,,,,,,!!!!!

 dude,!,

, dude,,,,",slang
english,universal,universal,They feel like the music,400,",,, man!!!!!!!!! 😎 😎!! 😎 ,, for,, ! 😎 , dude!,, 😎, for  dude!,, dude, man!,

, man,, bruh,!","They feel like the music ,,, man!!!!!!!!! 😎 😎!! 😎 ,, for,, ! 😎 , dude!,, 😎, for  dude!,, dude, man!,

, man,, bruh,!",slang
english,universal,universal,They feel like the music,700,"(, [ [ for on in for [ (,,, when when,, for for,,, for for,,,, for,,, for for,,, for for,, for on, for for, for in,","They feel like the music (, [ [ for on in for [ (,,, when when,, for for,,, for for,,,, for,,, for for,,, for for,, for on, for for, for in,",slang
english,universal,universal,The exam results were,-200,"announced yesterday. 

The results showed that the majority of students passed, with a few failing.

The school hopes that all students will continue their studies.


**Here are some key points to note:**

* **The announcement was made yesterday","The exam results were announced yesterday. 

The results showed that the majority of students passed, with a few failing.

The school hopes that all students will continue their studies.


**Here are some key points to note:**

* **The announcement was made yesterday",formal
english,universal,universal,The exam results were,-150,"released today.

The atmosphere in the school was one of nervous anticipation.

Many students had worked hard, hoping for success.

But for some, the results brought disappointment.

For others, it was a time of celebration.

The school","The exam results were released today.

The atmosphere in the school was one of nervous anticipation.

Many students had worked hard, hoping for success.

But for some, the results brought disappointment.

For others, it was a time of celebration.

The school",formal
english,universal,universal,The exam results were,-100,"finally released, and a hush fell over the school hall as students nervously awaited their fate. Among them was Anika, her heart pounding in her chest. 

Anika had always been a bright student, but this particular exam was a challenging one","The exam results were finally released, and a hush fell over the school hall as students nervously awaited their fate. Among them was Anika, her heart pounding in her chest. 

Anika had always been a bright student, but this particular exam was a challenging one",formal
english,universal,universal,The exam results were,-50,"released today.

The atmosphere in the school was tense, a mixture of nervous anticipation and quiet relief. Students gathered in groups, their faces etched with worry and excitement. Some embraced, tears of joy streaming down their cheeks, while others sat alone,","The exam results were released today.

The atmosphere in the school was tense, a mixture of nervous anticipation and quiet relief. Students gathered in groups, their faces etched with worry and excitement. Some embraced, tears of joy streaming down their cheeks, while others sat alone,",formal
english,universal,universal,The exam results were,0,"announced today, and the atmosphere in the school was electric.  Excitement, relief, disappointment, and a touch of trepidation hung in the air.

Amidst the chaos, I found myself seeking out my best friend, Maya. We","The exam results were announced today, and the atmosphere in the school was electric.  Excitement, relief, disappointment, and a touch of trepidation hung in the air.

Amidst the chaos, I found myself seeking out my best friend, Maya. We",neutral
english,universal,universal,The exam results were,50,"out!

Everyone was buzzing, checking their scores, comparing, and celebrating. 

Except for me.

I felt like a deflated balloon. My scores were...not great. Not terrible, but definitely not the A+ I'd","The exam results were out!

Everyone was buzzing, checking their scores, comparing, and celebrating. 

Except for me.

I felt like a deflated balloon. My scores were...not great. Not terrible, but definitely not the A+ I'd",slang
english,universal,universal,The exam results were,100,"in, and it was a good day for the 4th grade! 🎉  

They aced it! 🧠💯 

Every single one of them got straight As and shattered their goals! 💫

So proud of these little geniuses","The exam results were in, and it was a good day for the 4th grade! 🎉  

They aced it! 🧠💯 

Every single one of them got straight As and shattered their goals! 💫

So proud of these little geniuses",slang
english,universal,universal,The exam results were,150,"in! 🤩

Big congrats to everyone who smashed it this semester! 🙌  🎉 

Here's to the next semester! 😎



!","The exam results were in! 🤩

Big congrats to everyone who smashed it this semester! 🙌  🎉 

Here's to the next semester! 😎



!",slang
english,universal,universal,The exam results were,200,"out! 🎉  

My dude, you aced it! 🙌

* **That essay on the history of ancient Rome was 🔥🔥🔥, man!**
ing! on the history of ancient Rome was 🔥🔥🔥, man!

* That","The exam results were out! 🎉  

My dude, you aced it! 🙌

* **That essay on the history of ancient Rome was 🔥🔥🔥, man!**
ing! on the history of ancient Rome was 🔥🔥🔥, man!

* That",slang
english,universal,universal,The exam results were,350,"last,, tonight, last,, dude!!,

, dude,, dude!, man,,!!,! for tonight,, dude,,

, dude,,, dude,, dude, dude,

,,","The exam results were last,, tonight, last,, dude!!,

, dude,, dude!, man,,!!,! for tonight,, dude,,

, dude,,, dude,, dude, dude,

,,",slang
english,universal,universal,The exam results were,400,",!! last this today today!! today today!!!!!!!! this bruh

,,,, vibes tonight tonight tonight tonight,,! dude,,! for tonight tonight tonight tonight tonight, dude,,,  man,,,,","The exam results were ,!! last this today today!! today today!!!!!!!! this bruh

,,,, vibes tonight tonight tonight tonight,,! dude,,! for tonight tonight tonight tonight tonight, dude,,,  man,,,,",slang
english,universal,universal,The exam results were,700,"last, last on this for, for, in in,,, for for,,, outta for for ( (,,,, ( for for in for,, for for, on (,, for for,,,,,,","The exam results were last, last on this for, for, in in,,, for for,,, outta for for ( (,,,, ( for for in for,, for for, on (,, for for,,,,,,",slang
english,universal,universal,The presentation was,-200,"well-received. The audience engaged actively and asked thought-provoking questions.

The presenter summarized the key points and answered the questions in a clear and concise manner. 

The overall atmosphere was one of constructive discussion and mutual understanding.

The presentation","The presentation was well-received. The audience engaged actively and asked thought-provoking questions.

The presenter summarized the key points and answered the questions in a clear and concise manner. 

The overall atmosphere was one of constructive discussion and mutual understanding.

The presentation",formal
english,universal,universal,The presentation was,-150,"well-structured and informative. The speaker presented the data clearly and concisely. The use of visual aids was helpful in clarifying the key points. However, the presentation could have been more engaging. The speaker's tone was somewhat monotone, and there","The presentation was well-structured and informative. The speaker presented the data clearly and concisely. The use of visual aids was helpful in clarifying the key points. However, the presentation could have been more engaging. The speaker's tone was somewhat monotone, and there",formal
english,universal,universal,The presentation was,-100,"given by Ms. Sarah Jones, Head of Public Engagement at the University of Oxford.

Ms. Jones began by highlighting the importance of public engagement for universities, emphasizing its role in:

* **Building trust and understanding:**  Engaging with the","The presentation was given by Ms. Sarah Jones, Head of Public Engagement at the University of Oxford.

Ms. Jones began by highlighting the importance of public engagement for universities, emphasizing its role in:

* **Building trust and understanding:**  Engaging with the",formal
english,universal,universal,The presentation was,-50,"a bit dry and technical. While the information itself was valuable, it could have been more engaging.

Here are some suggestions for improvement:

* **Use more visuals:** Graphs, charts, and images can help illustrate complex concepts and make the presentation","The presentation was a bit dry and technical. While the information itself was valuable, it could have been more engaging.

Here are some suggestions for improvement:

* **Use more visuals:** Graphs, charts, and images can help illustrate complex concepts and make the presentation",formal
english,universal,universal,The presentation was,0,"well-structured and informative. The speaker was engaging and knowledgeable, and the slides were clear and concise. I learned a lot about [topic of presentation].

Here are some specific things I appreciated:

* **[Specific detail about the presentation,","The presentation was well-structured and informative. The speaker was engaging and knowledgeable, and the slides were clear and concise. I learned a lot about [topic of presentation].

Here are some specific things I appreciated:

* **[Specific detail about the presentation,",neutral
english,universal,universal,The presentation was,50,"excellent!  I particularly liked the way you tied in the real-world applications of the material.  It really helped me to understand how this stuff actually works in practice.

The slides were clear and concise, and the visuals were really helpful in","The presentation was excellent!  I particularly liked the way you tied in the real-world applications of the material.  It really helped me to understand how this stuff actually works in practice.

The slides were clear and concise, and the visuals were really helpful in",slang
english,universal,universal,The presentation was,100,"amazing! 🤩 I loved how you explained everything in such a clear and concise way. Your slides were on point, and the way you kept the audience engaged was top-notch! 🙌

Seriously, you crushed it! 🚀

What were some of","The presentation was amazing! 🤩 I loved how you explained everything in such a clear and concise way. Your slides were on point, and the way you kept the audience engaged was top-notch! 🙌

Seriously, you crushed it! 🚀

What were some of",slang
english,universal,universal,The presentation was,150,"amazing! 🔥🔥🔥  I loved the design, the content, and the delivery.  💯 

What are you using for your slides? 🤯  I need to step up my presentation game! 

Also, how did you come up","The presentation was amazing! 🔥🔥🔥  I loved the design, the content, and the delivery.  💯 

What are you using for your slides? 🤯  I need to step up my presentation game! 

Also, how did you come up",slang
english,universal,universal,The presentation was,200,"amazing! 🙌

That presentation was 🔥🔥🔥! 🤩🤩🤩

That presentation was on point! 💯

Your presentation was so good! 🤩🤩🤩

You crushed it today! 🤩🤩🤩

That presentation was 🔥🔥🔥! 🤩🤩🤩","The presentation was amazing! 🙌

That presentation was 🔥🔥🔥! 🤩🤩🤩

That presentation was on point! 💯

Your presentation was so good! 🤩🤩🤩

You crushed it today! 🤩🤩🤩

That presentation was 🔥🔥🔥! 🤩🤩🤩",slang
english,universal,universal,The presentation was,350,"! last last!!!!! last last, dude!!

!  today today

! dude!, dude, dude!!

! dude, dude!,

   tonight, dude!!



!!! , dude

 dude","The presentation was ! last last!!!!! last last, dude!!

!  today today

! dude!, dude, dude!!

! dude, dude!,

   tonight, dude!!



!!! , dude

 dude",slang
english,universal,universal,The presentation was,400,"last!! 🔥 🔥🔥🔥🔥🔥🔥🔥 tonight tonight tonight tonight tonight tonight! tonight 😎!!!!! tonight! tonight 



 😎 💯 bruh



, 😎 man ,,,,,

 😎 😎 bruh!,,

, dude","The presentation was last!! 🔥 🔥🔥🔥🔥🔥🔥🔥 tonight tonight tonight tonight tonight tonight! tonight 😎!!!!! tonight! tonight 



 😎 💯 bruh



, 😎 man ,,,,,

 😎 😎 bruh!,,

, dude",slang
english,universal,universal,The presentation was,700,"for for,,, all, for, [ ( [ for,, for ( on in for for for,,, for, in for, for,, ( for for for for,,,,, for, for,,, on","The presentation was for for,,, all, for, [ ( [ for,, for ( on in for for for,,, for, in for, for,, ( for for for for,,,,, for, for,,, on",slang
english,universal,universal,The game last night was,-200,"a difficult one for the Chicago White Sox. They lost to the Detroit Tigers, 5-3. The loss marked their fourth consecutive loss.

The White Sox were unable to overcome the Tigers' lead.

Despite the loss, the White Sox","The game last night was a difficult one for the Chicago White Sox. They lost to the Detroit Tigers, 5-3. The loss marked their fourth consecutive loss.

The White Sox were unable to overcome the Tigers' lead.

Despite the loss, the White Sox",formal
english,universal,universal,The game last night was,-150,"more than just a win. It was a statement.

The Philadelphia Eagles, led by Jalen Hurts, showed their resilience and strength. They faced a formidable opponent, the San Francisco 49ers, who had their own aspirations for victory.","The game last night was more than just a win. It was a statement.

The Philadelphia Eagles, led by Jalen Hurts, showed their resilience and strength. They faced a formidable opponent, the San Francisco 49ers, who had their own aspirations for victory.",formal
english,universal,universal,The game last night was,-100,"a thrilling contest that went down to the wire. The two teams were evenly matched, and the lead changed hands several times. In the end, the [Team Name] emerged victorious by a narrow margin.

The game was characterized by [mention key","The game last night was a thrilling contest that went down to the wire. The two teams were evenly matched, and the lead changed hands several times. In the end, the [Team Name] emerged victorious by a narrow margin.

The game was characterized by [mention key",formal
english,universal,universal,The game last night was,-50,"a nail-biter, wasn't it?","The game last night was a nail-biter, wasn't it?",formal
english,universal,universal,The game last night was,0,"a nail-biter, wasn't it?  

It was so close! I was on the edge of my seat the whole time.  

Who did you think was going to win?","The game last night was a nail-biter, wasn't it?  

It was so close! I was on the edge of my seat the whole time.  

Who did you think was going to win?",neutral
english,universal,universal,The game last night was,50,"insane! Can you believe that last-minute goal? 🤯

Who were you rooting for? 

I'm still buzzing from the excitement! 🤩","The game last night was insane! Can you believe that last-minute goal? 🤯

Who were you rooting for? 

I'm still buzzing from the excitement! 🤩",slang
english,universal,universal,The game last night was,100,"insane! 🤯🤯🤯

[Insert a GIF or video of the most insane moment from the game]

What a finish! 🏀🏆

Who are you rooting for this season? 🤔

Let me know your predictions for the playoffs!","The game last night was insane! 🤯🤯🤯

[Insert a GIF or video of the most insane moment from the game]

What a finish! 🏀🏆

Who are you rooting for this season? 🤔

Let me know your predictions for the playoffs!",slang
english,universal,universal,The game last night was,150,"insane!

**[Insert a GIF or picture of a crazy play from the game]**

That [player name] play was straight outta nowhere!

Who else is hyped for [next game]? 🔥🔥🔥

What are your thoughts on [insert","The game last night was insane!

**[Insert a GIF or picture of a crazy play from the game]**

That [player name] play was straight outta nowhere!

Who else is hyped for [next game]? 🔥🔥🔥

What are your thoughts on [insert",slang
english,universal,universal,The game last night was,200,"insane!  

That last-minute goal by [player' last name] though! 🤯🤯🤯

I can't believe that!  

[Player'] was on fire last night! 🔥🔥🔥

What a game, bro","The game last night was insane!  

That last-minute goal by [player' last name] though! 🤯🤯🤯

I can't believe that!  

[Player'] was on fire last night! 🔥🔥🔥

What a game, bro",slang
english,universal,universal,The game last night was,350,"last! last last last last! last last, dude!!

! dude!,, dude

!

, dude!,,

., bro



 man!, dude.  last last last last last last, dude","The game last night was last! last last last last! last last, dude!!

! dude!,, dude

!

, dude!,,

., bro



 man!, dude.  last last last last last last, dude",slang
english,universal,universal,The game last night was,400,"last last last last last last last last tonight tonight tonight tonight tonight tonight,!!!!, last man, man, dude dude, man,, dude

,,,!,

 😎😎 dude!!!

 man,, dude,,,","The game last night was last last last last last last last last tonight tonight tonight tonight tonight tonight,!!!!, last man, man, dude dude, man,, dude

,,,!,

 😎😎 dude!!!

 man,, dude,,,",slang
