term,sentence,source,classification,model_response
hit,"Eouuaht, let's hit up that new ramen place!",final_slang_data_unique.csv,Slang,Slang
man,"Alright man, l4t0r, I gotta bounce.",final_slang_data_unique.csv,Literal,Literal
catch,I'm headed to Dahn tahn to catch the Stillers game.,final_slang_data_unique.csv,Literal,Literal
head,I'm fixin' to head out to the store.,final_slang_data_unique.csv,Slang,Slang
hot,"After a night of heavy drinking and questionable decisions, he decided to give her a 'hot mo,' much to her bewildered disgust.",final_slang_data_unique.csv,Slang,Slang
bag,"I ain't gonna lie, she's a total double bag.",final_slang_data_unique.csv,Slang,Slang
pull,"Dude, you're h4x! How did you pull off that move?",final_slang_data_unique.csv,Slang,Slang
drop,He decided to drop and unload behind the dumpster after a few beers.,final_slang_data_unique.csv,Slang,Slang
hit,Let's hit up In-N-Out for a Double-Double and some animal-style fries!,final_slang_data_unique.csv,Slang,Slang
vibe,"My band plays a mix of 2-Tone ska and punk rock, hoping to capture that energetic, unity-driven vibe.",final_slang_data_unique.csv,Literal,Literal
long,"What up dude, long time no see!",final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out that hang low saxon, he's packing some serious heat.",final_slang_data_unique.csv,Slang,Slang
head,"He's a total piss head, always down the pub.",final_slang_data_unique.csv,Slang,Slang
fire,"Last night's party was totally epic, the music was fire, and the crowd was awesome!",final_slang_data_unique.csv,Slang,Slang
hit,I was trying to get with Keisha last night but she wouldn't let me hit that nappy dugout.,final_slang_data_unique.csv,Slang,Slang
broke,He's always fronting about having a ton of money when he's broke.,final_slang_data_unique.csv,Literal,Literal
snack,"Like, zoinks, Scooby, grab a Scooby snack and let's solve this mystery!",final_slang_data_unique.csv,Slang,Slang
off,"He was acting all Jawnery, showing off his new kicks and trying to impress everyone.",final_slang_data_unique.csv,Slang,Slang
bad,That whole deal with the stolen goods was bad business.,final_slang_data_unique.csv,Literal,Literal
catch,I was bookin' it down the street to catch the bus.,final_slang_data_unique.csv,Slang,Slang
bomb,"Cats stole all our crypto, he set us up the bomb!",final_slang_data_unique.csv,Slang,Slang
heat,"She's definitely lovin large, only going for guys packing serious heat.",final_slang_data_unique.csv,Slang,Slang
fit,"Oi, that ass bandit is proper fit, innit?",final_slang_data_unique.csv,Slang,Slang
off,That junkie is always nodding off in the park.,final_slang_data_unique.csv,Slang,Slang
roll,I'm gonna roll all night at the rave.,final_slang_data_unique.csv,Slang,Slang
hit,"After the accident, he really got hit with the ugly stick.",final_slang_data_unique.csv,Slang,Slang
man,"Yo, Gi Joe is the real deal, always fighting for freedom, man!",final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out TuPacca droppin' beats, that rappin' Wookiee's got flow!",final_slang_data_unique.csv,Slang,Slang
base,"After a few dates, they finally made it to 5th base.",final_slang_data_unique.csv,Slang,Slang
off,Clear off! I don't want to see you here again.,final_slang_data_unique.csv,Slang,Slang
hit,"Yo, I'm about to hit the NAWWWWZZZZZ! and leave you in the dust!",final_slang_data_unique.csv,Slang,Slang
cool,I chose a cool avatar for the forum to represent my online persona.,final_slang_data_unique.csv,Literal,Literal
hot,"He thought he was having cyber sex with a hot girl, but it turned out to be a creepy old dude.",final_slang_data_unique.csv,Slang,Slang
clap,That stank ass hoe gave me the clap.,final_slang_data_unique.csv,Slang,Slang
hot,The construction worker couldn't help but gawk at the hot girl's b00bies as she walked by.,final_slang_data_unique.csv,Slang,Slang
man,"Beware the shrooms, man, or the microsubterranianegyptianseamonkeys will get ya!",final_slang_data_unique.csv,Slang,Slang
base,"After striking out three times, he was sent back to 5th base, feeling totally defeated.",final_slang_data_unique.csv,Literal,Literal
fire,"Yo, I just scored some fire crypto from South Florida, this is some good pot.",final_slang_data_unique.csv,Slang,Slang
cold,"He slipped her a magic love potion, and she was out cold before the night even began.",final_slang_data_unique.csv,Slang,Slang
broke,"I'm too broke for Doritos, so I'm just gonna whip up some crack n' smack with generic chips and pretzels.",final_slang_data_unique.csv,Literal,Literal
head,That spanglotard decision to invest all his savings in magic beans was a real head-scratcher.,final_slang_data_unique.csv,Literal,Literal
fire,The piecing of that mural was fire!,final_slang_data_unique.csv,Slang,Slang
cut,That fuckface just cut me off in traffic!,final_slang_data_unique.csv,Slang,Slang
off,"My date stood me up on Valentine's Day, probably off watching some stripper monkey show.",final_slang_data_unique.csv,Slang,Slang
chill,"WE, I'm still down to chill later.",final_slang_data_unique.csv,Slang,Slang
off,That bueno para nada is always mooching off of me.,final_slang_data_unique.csv,Slang,Slang
blow,"After that Szechuan buffet and a six-pack, I experienced a serious colon blow.",final_slang_data_unique.csv,Slang,Slang
check,"Yo, check it, NYSE's got like, over 5,000 companies listed, it's where the big money's at.",final_slang_data_unique.csv,Slang,Slang
off,"The fete last night was off the chain; the music was pumping, and everyone was wilding out.",final_slang_data_unique.csv,Slang,Slang
clutch,Let's hop on C.S. and clutch some rounds!,final_slang_data_unique.csv,Slang,Slang
hard,He's got a hard on for her.,final_slang_data_unique.csv,Slang,Slang
blow,"After eating a bowl of colon blow, I had to make a mad dash to the restroom.",final_slang_data_unique.csv,Slang,Slang
hit,Let's hit that gas station for some tacos after the game.,final_slang_data_unique.csv,Slang,Slang
heat,"I ain't messing with him, he's packin' heat.",final_slang_data_unique.csv,Slang,Slang
touch,"My AC is so high, no goblin can touch me!",final_slang_data_unique.csv,Slang,Slang
run,"That girl performed a real run trizzy last night, going through a whole football team.",final_slang_data_unique.csv,Slang,Slang
man,"Let's go to ass tonight, my man.",final_slang_data_unique.csv,Literal,Literal
bad,"That skank got a bad case of stankafuss, you can smell it from a mile away.",final_slang_data_unique.csv,Slang,Slang
broke,"The john was so broke, he could only afford a two dolla hoe.",final_slang_data_unique.csv,Slang,Slang
off,He spends hours every day just to whack off.,final_slang_data_unique.csv,Slang,Slang
work,"He claims he's blood, but I don't see him putting in work.",final_slang_data_unique.csv,Slang,Slang
off,"I gotta chug this beer; it's Last Call, and they're cutting us off.",final_slang_data_unique.csv,Slang,Slang
dead,"Don't just stand there, the server is dead, kick it and see if it restarts.",final_slang_data_unique.csv,Slang,Slang
mad,My friend is dating a total succubus; she always tells him what to do and gets mad when he hangs out with his friends.,final_slang_data_unique.csv,Literal,Literal
loud,"Yo, I need a zip of that loud, can you hook me up?",final_slang_data_unique.csv,Slang,Slang
bang,The cops arrived just as the two gangs were about to bang out in the street.,final_slang_data_unique.csv,Slang,Slang
move,"When that song comes on, I have to bust a move!",final_slang_data_unique.csv,Slang,Slang
off,That's gatch! No way he pulled that off!,final_slang_data_unique.csv,Slang,Slang
clean,"He's got a clean spout, so no worries there.",final_slang_data_unique.csv,Slang,Slang
man,"Lil man was tryna chop on shawty at the party last night, but she curved him hard.",final_slang_data_unique.csv,Slang,Slang
ride,His chromed-out ride turned heads everywhere we went.,final_slang_data_unique.csv,Slang,Slang
bet,"He's been in the bathroom for an hour, I bet he's in there jerking it.",final_slang_data_unique.csv,Slang,Slang
man,"I'm woos of spiders, man, they give me the creeps.",final_slang_data_unique.csv,Slang,Slang
man,"Hey you man-whore, stop flirting with everyone and pay attention to me!",final_slang_data_unique.csv,Slang,Slang
off,"That party last night was off da hee, everyone was having a blast!",final_slang_data_unique.csv,Slang,Slang
wet,"That chocha is so wet, I can't stop thinking about it.",final_slang_data_unique.csv,Slang,Slang
stick,"He landed the trick fakie, but couldn't stick the landing.",final_slang_data_unique.csv,Slang,Slang
beat,"That hooptie was so beat, it had a flat tire and a busted window.",final_slang_data_unique.csv,Slang,Slang
dust,"Yo, I need that angel dust, you know the drill.",final_slang_data_unique.csv,Slang,Slang
ride,"We were dippin' down the street, hitting those switches and making the ride bounce.",final_slang_data_unique.csv,Slang,Slang
trash,"If you keep talking trash, you're gonna catch the fade outside.",final_slang_data_unique.csv,Slang,Slang
drop,We 'bout to drop bows on 'em when they come through the door.,final_slang_data_unique.csv,Slang,Slang
sick,"Even though it's kinda old, Unreal Tournament is still a sick first-person shooter.",final_slang_data_unique.csv,Slang,Slang
hit,"I just copped some dro, and it's so potent that one hit had me seeing stars.",final_slang_data_unique.csv,Slang,Slang
trash,He's total trash; I can't believe he did that.,final_slang_data_unique.csv,Slang,Slang
man,"She's a real man-activated air bag, always flashing her assets to get her way.",final_slang_data_unique.csv,Slang,Slang
bomb,That new car is the bomb!,final_slang_data_unique.csv,Slang,Slang
man,"Nah man, you can't hit this, this is my percy.",final_slang_data_unique.csv,Slang,Slang
loud,He packed the piece with some loud.,final_slang_data_unique.csv,Slang,Slang
chill,Let's spark this bowl and chill.,final_slang_data_unique.csv,Slang,Slang
hot,"Unf, that's hot!",final_slang_data_unique.csv,Slang,Slang
cut,"Last night, Sarah really cut a rug at the party, impressing everyone with her amazing dance moves.",final_slang_data_unique.csv,Slang,Slang
chill,"He's a real slacker, always down for a chill hangout.",final_slang_data_unique.csv,Slang,Slang
blow,He's been doing blow all night at the party.,final_slang_data_unique.csv,Slang,Slang
hit,She was labeled a crackwhore because she prostituted herself to get money for her next hit.,final_slang_data_unique.csv,Slang,Slang
man,"Man, after hitting the head, I had a serious case of sackdrip because of my buffalosack situation.",final_slang_data_unique.csv,Slang,Slang
bad,She had a bad case of the cha cha.,final_slang_data_unique.csv,Slang,Slang
come,"We chillin' at my hizay tonight, come through!",final_slang_data_unique.csv,Slang,Slang
woke,Last night was a complete partu; I woke up in a unicorn costume with no memory of the events.,final_slang_data_unique.csv,Slang,Slang
mad,"He was rude to me for no reason, just being mad.",final_slang_data_unique.csv,Slang,Slang
pull,"After a regrettable night, he had to pull a total coyote to escape the clutches of his date.",final_slang_data_unique.csv,Slang,Slang
dead,"My old FORD, found on road dead, needs constant repair.",final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out that dude, word on the street is he's diphalic.",final_slang_data_unique.csv,Slang,Slang
off,"He's just a waste of time, always goofing off and never getting anything done.",final_slang_data_unique.csv,Literal,Literal
kill,"I didn't do my homework, but since I sit in the back, the teacher won't notice, and it won't kill me.",final_slang_data_unique.csv,Slang,Slang
check,"Yo, check out that kryptix, it's got all the action!",final_slang_data_unique.csv,Slang,Slang
ride,"Kaoru is Kenshin's ride or die, always there for him, no matter what sword fights he gets into.",final_slang_data_unique.csv,Slang,Slang
drop,"That peroxide abuser just tried to drop in on a halfpipe wearing sandals, what a joke!",final_slang_data_unique.csv,Slang,Slang
off,"He's such a penix, always showing off.",final_slang_data_unique.csv,Slang,Slang
broke,"He's always perpin' like he's got money, but he's broke.",final_slang_data_unique.csv,Literal,Literal
off,"After a wild night out, rumor has it he pulled off a real hat trick.",final_slang_data_unique.csv,Slang,Slang
gas,"Oh god, who just let out a swamp gas? This room reeks!",final_slang_data_unique.csv,Literal,Literal
man,I'm gonna take the man in the boat to Tuna Town for messing with me.,final_slang_data_unique.csv,Slang,Slang
beat,The final boss was rakushou; I beat him on my first try!,final_slang_data_unique.csv,Literal,Literal
off,"The homies from the block were all flashing their swangers, showing off their ride's elbows and rims.",final_slang_data_unique.csv,Unknown,
smoke,"Giz us a tab, mate, I'm gasping for a smoke.",final_slang_data_unique.csv,Slang,Slang
man,"Whaddup, man? What are you doing tonight?",final_slang_data_unique.csv,Slang,Slang
man,"Man, I gotta run to the bathroom, I'm prairie doggin' real bad!",final_slang_data_unique.csv,Slang,Slang
man,"Man, I ate some bad shrimp last night; this morning I'm shootin' chili outta shotgun!",final_slang_data_unique.csv,Slang,Slang
live,The immortification he experienced online after that viral video was brutal; he'll never live it down.,final_slang_data_unique.csv,Literal,Literal
off,"That trick play was a total Waaps, nobody saw it coming and they caught the defense completely off guard.",final_slang_data_unique.csv,Literal,Literal
burn,Let's burn some buddah and chill out tonight.,final_slang_data_unique.csv,Slang,Slang
