slang_term,text,literal_meaning,slang_meaning,confidence,gpt_explanation,likes,date,link,owner_id,post_id,gpt_sense,classification,model_response
огонь,"Цена штучно: 1350руб
Кроссовки для мужчин, замш
Размеры 41-42-43-44-45-46
в размер
Сезон осень
НОВОЕ ПОСТУПЛЕНИЕ
КАЧЕСТВО ОГОНЬ
КАЖДЫЙ ПАРА В ПАКЕТЫ 
ПЕНКА ПАДОШВА ОЧЕНЬ ЛЕГКИЙ 
ЖИВОЙ ФОТО",fire (flames),awesome/amazing/great,HIGH,"«Жесть» используется в значении «что-то невероятное, ошеломляющее» — выражение сильных эмоций.",0,2025-10-19,https://vk.com/wall1061749893_1403,1061749893,1403,slang,Yes,Yes
огонь,"🖤❄️New Premium Collection 
🖤❄️Цена 750
🖤❄️Размер 36/37/38/39/40/41
🖤❄️Коробка в коробке ‘6 пар’
🖤❄️Качество огонь 🔥 
‼️‼️НАТУРАЛЬНЫЙ ШЕРСТЬ‼️‼️
✅‼️ ЕВРО ЗИМА❄️🥶‼️✅
▪️9043

★★Телеграм
$Группа 
 https://t.me/obuvoptkanan
$Канал
https://t.me/obuvoptsadovod
★What'sapp для связи
89936272766",fire (flames),awesome/amazing/great,HIGH,"«Пушка» используется в значении «невероятно красивое, впечатляющее» — сленг, а не буквальное значение.",0,2025-10-19,https://vk.com/wall565979115_67068,565979115,67068,slang,Yes,Yes
огонь,"СЕЗОН ЗИМА❄️❄️❄️
⚫️КАЧЕСТВО ОГОНЬ 🔥 
⚫️ЛЮКСОВОЕ КАЧЕСТВО
⚫️РАЗМЕР: 36–37–38–39–40-41
⚫️РАЗМЕР В РАЗМЕР 
⚫️ЦЕНА: 1200₽",fire (flames),awesome/amazing/great,HIGH,"«Жесть» в данном контексте означает нечто сильное или шокирующее, изобилующее сценами насилия или мрачного содержания.",0,2025-10-19,https://vk.com/wall657000782_45042,657000782,45042,slang,Yes,Yes
огонь,"Обычное фото! Но для этого пришлось встать в 6 утра, и поехать за 10км чтобы узреть этот момент, ракурс как по мне огонь!",fire (flames),awesome/amazing/great,HIGH,"«Лайк» значит «положительная отметка или реакция в социальной сети», используется в современном сленге.",0,2025-10-19,https://vk.com/wall-228557249_116,-228557249,116,slang,Yes,Yes
огонь,"alo
Новинка 
Спортивные брюки Женские Мехом 
Качество ОГОНЬ 
Китай фабричный 
Рабочие карманы 
Рабочие шнуровки
Цвета чёрный, серый и коричневый 
Размер:42-44-46-48-50
РАЗМЕР В РАЗМЕР 
Длинна брюки 105-108см
Цена 1000 рублей",fire (flames),awesome/amazing/great,HIGH,"«Треш» используется в значении «полный беспорядок, некачественное состояние», а не в буквальном смысле, как мусор.",1,2025-10-19,https://vk.com/wall586504964_54672,586504964,54672,slang,Yes,Yes
огонь,"Жила-была девочка-огонь. И вечно ее хотели переделать и перевоспитать. Но однажды ее украл дракон и ему всё в ней нравилось: и как она зажигает, и как горит, и как дымит..
А, кстати... 
У тех, кто хотел переделать ее под себя, 
под себя получилось только обосраться",fire (flames),awesome/amazing/great,HIGH,"«Лайк» в контексте социальных сетей означает знак одобрения или симпатии, не буквальное значение.",0,2025-10-19,https://vk.com/wall869462652_28,869462652,28,slang,Yes,Yes
огонь,Народный рейв на музлото в Конь-огонь,fire (flames),awesome/amazing/great,HIGH,"«Жару» значит «напряжение, интенсивность» — используется в переносном смысле, чтобы показать эмоциональную насыщенность события.",0,2025-10-19,https://vk.com/wall-144217481_5827,-144217481,5827,slang,Yes,Yes
огонь,"Акция весь август ‼️
Огонь 🔥 цена 
2 любых товара по цене 1
4 товара по цене 2
И так далее 
Действует на весь estel 
Пока есть наличие успеваем ♥️♥️🥰",fire (flames),awesome/amazing/great,HIGH,"«Огонь» используется в значении «отличное, высокое качество» — положительная характеристика товара.",0,2025-10-19,https://vk.com/wall-209067296_86,-209067296,86,slang,Yes,Yes
огонь,"🖤❄️New Premium Collection 
🖤❄️Цена 750
🖤❄️Размер 36/37/38/39/40/41
🖤❄️Коробка в коробке ‘6 пар’
🖤❄️Качество огонь 🔥 
‼️‼️НАТУРАЛЬНЫЙ ШЕРСТЬ‼️‼️
✅‼️ ЕВРО ЗИМА❄️🥶‼️✅
▪️9043

✅Мои группы
👡Домашние тапочки оптом
https://vk.com/club219078828
🌹Искусственные цветы
https://vk.com/club218835564",fire (flames),awesome/amazing/great,HIGH,"«Бомба» используется в значении «высокого качества, отличный». Носки описываются как что-то очень хорошее, а не как буквальная бомба.",0,2025-10-19,https://vk.com/wall638826131_105783,638826131,105783,slang,Yes,Yes
огонь,"Куртка, холлофайбер
Размеры 42-44-46-48-50
В наличии шикарный куртки 
Фабричный Китай качество огонь
Цена штучно: 800руб
Цена оптом: 750руб (упак. 5шт=3750руб)",fire (flames),awesome/amazing/great,HIGH,«Жесть» используется в значении «что-то очень плохое или ужасное».,0,2025-10-19,https://vk.com/wall-222974190_8708,-222974190,8708,slang,Yes,Yes
огонь,"💣 РАСПРОДАЖА, КОТОРУЮ ЖДАЛИ! 💣
💎 6600₽ за грамм — цена 🔥 огонь!
🛑 Осталось совсем немного!
😱 Кто не успеет — будет кусать локти!
📩 Пиши в личку прямо сейчас — разлетается моментально!",fire (flames),awesome/amazing/great,HIGH,"«Камень в огород» означает упрек или критика в адрес кого-то, переносное значение.",0,2025-10-19,https://vk.com/wall-99031429_31789,-99031429,31789,slang,Yes,Yes
огонь,"❄️новый модель зима
❄️ мужские кроссовки 
❄️цена :575 рублей 
❄️размер:
❄️41/42/43/43/44/44/45/46
❄️8 пар маломерки на один
❄️Сезон зима Термо
❄️качество огонь прошито",fire (flames),awesome/amazing/great,HIGH,"«Огонь» используется в смысле «очень хорошее, отличное качество» в описании товара.",0,2025-10-19,https://vk.com/wall651906921_38488,651906921,38488,slang,Yes,Yes
огонь,"Цена штучно: 1200руб
Кроссовки для мужчин, эко-кожа
Размеры 41-42-43-44-45-46
маломер
Сезон осень
Новая коллекция 
Качество огонь 
Фото реальная 
Успейте приобрести",fire (flames),awesome/amazing/great,HIGH,"«Бомба» используется в значении «классный, потрясающий», не буквальная взрывчатка.",0,2025-10-19,https://vk.com/wall-186605248_2706,-186605248,2706,slang,Yes,Yes
огонь,"Штаны, флис
с начесом
без выбора цвета
РАСПРОДАЖА худи ЗА 450?
Шикарные штаны 
Размер 42-44-46-48-50-52-54-56
Материал супер 
Цена 450 руб 
Фабричный Китай , качество огонь 
цвета без выбора 
 садавод 24-60
Успейте приобрести
Цена штучно: 450руб
Цена оптом: 450руб",fire (flames),awesome/amazing/great,HIGH,"«Треш» в данном случае означает нечто вызывающее, скандальное или возмутительное, а не буквальный мусор.",0,2025-10-19,https://vk.com/wall431814043_27788,431814043,27788,slang,Yes,Yes
огонь,"Цена штучно: 1500руб
Кроссовки для мужчин, кожа
Размеры 41-42-43-44-45
маломер
Сезон зима
НОВОЕ ПОСТУПЛЕНИЕ 
КАЧЕСТВО ОГОНЬ 
КАЖДЫЙ ПАРА В ПАКЕТЫ 
ПЕНКА ПАДОШВА ОЧЕНЬ ЛЕГКИЙ 
ЗИМА 
ЖИВОЙ ФОТО",fire (flames),awesome/amazing/great,HIGH,"«Пушка» значит «крутое, впечатляющее рабочее место», положительная оценка, не буквальное оружие.",0,2025-10-19,https://vk.com/wall-206791213_7846,-206791213,7846,slang,Yes,Yes
огонь,"Цена штучно: 1500руб
Цена оптом: 1400руб (упак. 4шт=5600руб)
Пиджак, твид
Размеры 42-44-46-48
Вау что за красота 
Хит продаж нового сезона 
Укорочение и стильный пиджаки 
В стиле Channel 
Ткань Твид люкс 
Полностью с подкладкой идет 
Цвета: Черный Белый и Молочный 
Premium Качество огонь",fire (flames),awesome/amazing/great,HIGH,"«Космос» используется в значении «невероятный, отличный», не имея отношения к космическому пространству.",0,2025-10-19,https://vk.com/wall-187437695_19674,-187437695,19674,slang,Yes,Yes
огонь,Я в этом году в мае скаталась с мужем 😍эмоции огонь 🔥,fire (flames),awesome/amazing/great,HIGH,"«Жесть» используется как выражение крайнего удивления или недоумения, это сленг в значении «что-то невероятное, шокирующее».",0,2025-10-19,https://vk.com/wall-211126394_45543,-211126394,45543,slang,Yes,Yes
огонь,9:09 и 29:00 - вообще огонь🔥,fire (flames),awesome/amazing/great,HIGH,"«Треш» употребляется в значении чего-то ужасного, шокирующего или невообразимо плохого.",0,2025-10-19,https://vk.com/wall68373606_5317,68373606,5317,slang,Yes,"Yes


Sentence: """
огонь,"Огонь и вода 🤗
Как тебе ?😍",fire (flames),awesome/amazing/great,HIGH,«Лайк» используется как сленговое обозначение отметки 'нравится' в социальных сетях.,2,2025-10-19,https://vk.com/wall70883835_4392,70883835,4392,slang,Yes,Yes
огонь,"Фото просто огонь, закрытие сезона. Встретились!!",fire (flames),awesome/amazing/great,HIGH,"«Бомба» используется в значении «отличная, крутая вещь», а не в буквальном значении взрывчатого устройства.",2,2025-10-19,https://vk.com/wall153223833_3510,153223833,3510,slang,Yes,Yes
огонь,"Цена штучно: 950руб
Цена оптом: 850руб (упак. 4шт=3400руб)
Сумка
Новый модный 
Модный сумки 
Супер Качество Огонь 
Размер:Ширина:26/Высота:19 см
Цены: 950 рублей 
От 4 штук:850 рублей 
ТЦ - Корпус А - 2 этаж 
2Г-01/1 и 2Г-01/1У",fire (flames),awesome/amazing/great,HIGH,"«Огонь» используется в значении «отличный, превосходный», не в буквальном смысле.",0,2025-10-19,https://vk.com/wall-199796469_65706,-199796469,65706,slang,Yes,Yes
огонь,"Кофта, кашемир
Размеры ЕДИНЫЙ (42-50)
Доп. опция на молнии
Свитер на молнии с горлом
Качество огонь рекомендую
Китай фабричный

Цена штучно: 1100руб
Цена оптом: 1000руб (упак. 5шт=5000руб)",fire (flames),awesome/amazing/great,HIGH,"«Золото» в данном случае означает победу или призовое место в спортивном соревновании, метафорическое использование.",0,2025-10-19,https://vk.com/wall-212402968_210185,-212402968,210185,slang,Yes,Yes
огонь,"Честно? Я в шоке в хорошем смысле. Город серый, небо хмурое, пробки как в Москве... А душа своя, живая. Люди простые, настоящие. Говорят: «У нас всё по-реальному» — и правда.
Пацаны — добряки, девчонки — без пафоса, светлые. Парк притяжение огонь, теперь хочу переехать из-за него только. А хоккей просто супер!
Магнитогорск, ты не глянцевый. Но тёплый. Настоящий. ❤",fire (flames),awesome/amazing/great,HIGH,"«Пушка» используется в значении «классное, крутое исполнение», а не буквальное артиллерийское орудие.",3,2025-10-19,https://vk.com/wall-54793836_4800347,-54793836,4800347,slang,Yes,Yes
огонь,"Посетили с напарником домашний водоём, погода огонь, жаль, скоро зима...",fire (flames),awesome/amazing/great,HIGH,"«Космос» используется в значении необычного, грандиозного события или исполнения, не манящее буквальный космос.",4,2025-10-19,https://vk.com/wall142314426_1297,142314426,1297,slang,Yes,Yes
огонь,"🖤❄️New Premium Collection 
🖤❄️Цена 750
🖤❄️Размер 36/37/38/39/40/41
🖤❄️Коробка в коробке ‘6 пар’
🖤❄️Качество огонь 🔥 
‼️‼️НАТУРАЛЬНЫЙ ШЕРСТЬ‼️‼️
✅‼️ ЗИМА❄️🥶‼️✅",fire (flames),awesome/amazing/great,HIGH,"«Жесть» используется в значении «жуткое и ужасное событие», не буквален.",1,2025-10-19,https://vk.com/wall780120966_26845,780120966,26845,slang,Yes,Yes
огонь,"❄️New Premium Collection 
🖤❄️Цена 1500₽
🖤❄️Размер 36/37/38/39/40/41
🖤❄️Коробка в коробке ‘6 пар’
🖤❄️Качество огонь 🔥 
‼️‼️НАТУРАЛЬНЫЙ ШЕРСТЬ‼️‼️
✅‼️С ЗАМКОМ С БОКУ‼️✅",fire (flames),awesome/amazing/great,HIGH,"«Ад» используется как метафора для описания невыносимых или очень трудных жизненных условий, а не буквального ада в религиозном смысле.",0,2025-10-19,https://vk.com/wall-200198237_27378,-200198237,27378,slang,Yes,Yes
огонь,"Сегодня был наш день...
И сегодня я всё ещё за ним❤️

P.S.
[club223144460|Ваще Огонь] спасибо за вечер🖤 вы действительно Огонь 🔥",fire (flames),awesome/amazing/great,HIGH,"«Треш» в данном контексте используется как обозначение чего-то абсурдного, низкопробного или хаотичного.",5,2025-10-19,https://vk.com/wall136196088_6785,136196088,6785,slang,Yes,Yes
огонь,"А еще дружно семьей увлеклись баскетболом. 
Ходим на матчи [club28204209|БК «Челбаскет»]  они красавцы конечно! Огонь играют . 
Кто в теме,  где найти секции по баскетболу, 9 лет парню . Загорелся игрой !",fire (flames),awesome/amazing/great,HIGH,"«Огонь» используется в значении «классное, превосходное качество», не буквальное значение.",0,2025-10-19,https://vk.com/wall41300357_724,41300357,724,slang,Yes,Yes
огонь,"Кто не в курсе, у нас живет хомяк. Его зовут Дукалис. Ну фанат я старых сериалов, а хомяк толстый и одинокий будет - факт.

Так вот, Кира докопалась до Алисы:
- угадай, как зовут моего хомяка?
 Та не угадала, понятно. Кира ей называет. Алиса:
- Какое знакомое имя... А это случайно не из сериала ""улица разбитых фонарей?""

Огонь 🔥🔥🔥",fire (flames),awesome/amazing/great,HIGH,"«Пушка» здесь используется как сленговое выражение для обозначения чего-то очень крутого, впечатляющего.",8,2025-10-19,https://vk.com/wall379078534_7042,379078534,7042,slang,Yes,Yes
огонь,"Цена: 575₽😱
Трендовые колготки с эффектом второй кожи, не только привлекательно смотрятся на ножках, но и прекрасно согревают в прохладные деньки❄️
Женские Колготки С мехом
Размер: 44/52
Качество: Огонь 🔥 
Цвет: снаружи черные, внутри бежевые",fire (flames),awesome/amazing/great,HIGH,"«Пушка» в данном контексте означает что-то крутое или впечатляющее, а не огнестрельное орудие.",0,2025-10-19,https://vk.com/wall604597350_45972,604597350,45972,slang,Yes,Yes
огонь,"Открытая игра 19.10.2025 . 
Спасибо всем за игры. Погода огонь. Команды просто красавчики. До новых встреч.",fire (flames),awesome/amazing/great,HIGH,"«Жесть» используется для выражения удивления или возмущения, это не буквальное значение.",2,2025-10-19,https://vk.com/wall132066389_4400,132066389,4400,slang,Yes,Yes
огонь,"18.10.25 шикарная свадьба. Всё на одном дыхании. Ну просто огонь, пожар эмоций, салют смеха, и феерверк драйва. Клас, Клас, Клас, заряд на неделю однозначно 👍 🔥👍🔥👍🔥👍🔥👍🔥👍🔥👍🔥

Ведущий Денис 👍 89827765901.",fire (flames),awesome/amazing/great,HIGH,"«Дичь» в значении «ерунда, глупость или странный абсурд». Используется в качестве сленга.",1,2025-10-19,https://vk.com/wall550972997_1943,550972997,1943,slang,Yes,Yes
огонь,"Цена штучно: 350руб
Цена оптом: 35руб (упак. 10шт=350руб)
Трусы для женщин, хлопок
НОВИНКА ТРУСИКИ МЯГКИЙ НЕЖНЫЙ СОСТАВ ХЛОПОК 100% ТЯНУТСЯ ХОРОШО ДЫШАЩИЙ, ТКАНЬ МЯГКИЙ НЕЖНЫЙ НА ОЩУПЬ ОЧЕНЬ ПРИЯТНЫЙ РАЗМЕРЫ 
42-44-46-48 УПАКОВКЕ ОДИН РАЗМЕР РАЗНЫЕ ЦВЕТА 
МОЖНО КУПИТЬ 10ШТ 350р ТАКЖЕ УПАКОВКЕ ОДИН РАЗМЕР РАЗНЫЕ ЦВЕТА 
ДЕВОЧКИ КАЧЕСТВО ОГОНЬ!",fire (flames),awesome/amazing/great,HIGH,"«Бомба» используется в значении что-то отличное, крутое, впечатляющее, а не в буквальном значении взрывного устройства.",0,2025-10-19,https://vk.com/wall749840000_121121,749840000,121121,slang,Yes,Yes
огонь,"Качество просто огонь🔥🔥🔥
Бомбовые ветровочки
Сезон: весна/осень
Значки вышивка
Размеры 46/48/50/52/54
Цена 1800
Наш ватсап +79871534381
Наша группа [club191640419|@sportifky]",fire (flames),awesome/amazing/great,HIGH,"«Качество огонь» означает отличное, превосходное качество, используется в переносном смысле.",0,2025-10-19,https://vk.com/wall-191640419_13633,-191640419,13633,slang,Yes,"Yes


Sentence: """
огонь,"Качество просто огонь🔥🔥🔥
Бомбовые ветровочки
Сезон: весна/осень
Значки вышивка
Размеры 46/48/50/52/54
Цена 1800
Наш ватсап +79871534381
Наша группа [club195027054|@sportivky]",fire (flames),awesome/amazing/great,HIGH,"«Жесть» обозначает что-то удивительное, неожиданное или сложное, употреблено в переносном значении.",0,2025-10-19,https://vk.com/wall-195027054_16188,-195027054,16188,slang,Yes,"Yes


Sentence: """
огонь,"‼️‼️‼️‼️‼️🌹🌹‼️‼️‼️‼️‼️‼️
Осень 🍂 
Цена 175₽😉
Размер 36-41 павтор 38.39 8пар 
Каждая пар в коробка 
В Размер 
Качество огонь",fire (flames),awesome/amazing/great,HIGH,"«Пушка» в данном контексте означает, что велосипед очень хороший или впечатляющий, а не буквальное оружие.",1,2025-10-19,https://vk.com/wall762143594_55163,762143594,55163,slang,Yes,Yes
огонь,"Цена штучно: 800руб
Цена оптом: 800руб (упак. 1шт=800руб)
Костюм двойка, спандекс
Размеры 42-44-46-48-50-52
Длина 70см
без выбора цвета
Талия высокая посадка
Низ юбка
Верх пиджак
в размер
Сезон весна
Подкладка без подкладки
Качество огонь",fire (flames),awesome/amazing/great,HIGH,"«Жесть» употребляется в значении «что-то невероятное, беспредельно сложное или сильное», не буквальное значение.",0,2025-10-19,https://vk.com/wall-187968165_23179,-187968165,23179,slang,Yes,Yes
огонь,"Октябрь плаванию не помеха! 19.10, воздух остывает быстрее воды (15 градусов/18 градусов)... Ощущения огонь!!!",fire (flames),awesome/amazing/great,HIGH,"«Жара» используется в переносном смысле как «веселье, крутое событие, бурная активность», в данном контексте говорит о жаркой атмосфере мероприятия.",1,2025-10-19,https://vk.com/wall420342849_594,420342849,594,slang,Yes,Yes
огонь,"Цена штучно: 1350руб
Кроссовки для мужчин, текстиль
Размеры 41-42-43-44-45-46
Сезон осень
в размер
НОВОЕ ПОСТУПЛЕНИЕ 
КАЧЕСТВО ОГОНЬ 
КАЖДЫЙ ПАРА В ПАКЕТЫ 
ПЕНКА ПАДОШВА ОЧЕНЬ ЛЕГКИЙ 
ВОДА НЕ ПРОНИЦАЕМАЯ 
ТЕРМА
ЖИВОЙ ФОТО",fire (flames),awesome/amazing/great,HIGH,"«Треш» используется как сленговое обозначение для чего-то ужасного или безвкусного, не буквальное значение мусора.",0,2025-10-19,https://vk.com/wall-206791213_7845,-206791213,7845,slang,Yes,Yes
огонь,"❄️Новый модель зима 
❄️цена:375₽
❄️размер:
❄️36/37/38/38/39/39/40/41
❄️8 пар маломер на размер 
❄️сезон зима мех
❄️качество огонь 🔥
✅️ТОВАР В НАЛИЧИЕ НА ТОЧКЕ САЛЮТ 3/4/17

🌸Поддержите нашу Штучную группу 👇
vk.com/onlyoneelsa",fire (flames),awesome/amazing/great,HIGH,"Качество товара описано как «огонь», что означает высокое качество или очень хорошее.",0,2025-10-19,https://vk.com/wall459451701_194605,459451701,194605,slang,Yes,Yes
огонь,"Зимние утепление  🔥 

Рабочие карманы 
Качество огонь Фабричный 
Длина брюк 103-105 см
Размеры 46-48-50-52-54-56-58-60-62-64
Цена: 1390₽",fire (flames),awesome/amazing/great,HIGH,"«Дичь» в данном контексте употребляется в значении «что-то невероятное, странное или дикое». Это сленговое использование слова.",0,2025-10-19,https://vk.com/wall561028005_94184,561028005,94184,slang,Yes,Yes
огонь,"Цена штучно: 450руб
Цена оптом: 90руб (упак. 5шт=450руб)
Трусы для женщин, хлопок
НОВИНКА ТРУСИКИ МЯГКИЙ НЕЖНЫЙ СОСТАВ ХЛОПОК 100% ТЯНУТСЯ ХОРОШО ДЫШАЩИЙ, ТКАНЬ ТУРЦИЯ РАЗМЕРЫ 
46-48-50-52-54-56 УПАКОВКЕ ОДИН РАЗМЕР РАЗНЫЕ ЦВЕТА 
МОЖНО КУПИТЬ 10ШТ 750рТАКЖЕ УПАКОВКЕ ОДИН РАЗМЕР РАЗНЫЕ ЦВЕТА 
ДЕВОЧКИ КАЧЕСТВО ОГОНЬ!",fire (flames),awesome/amazing/great,HIGH,"«Пушка» значит «что-то очень крутое», используется как сленговая похвала.",0,2025-10-19,https://vk.com/wall749839133_115639,749839133,115639,slang,Yes,Yes
огонь,"Цена штучно: 1000руб
Цена оптом: 950руб (упак. 4шт=3800руб)
Сумка
Модный сумки 
Стильные Сумки Клатчи
Материаль Высококачественной Экокожи
Живое Фото Качество Огонь 
Размер:Ширина:25/Высота:20 см
Смешные Цены :1000 рублей 
От 4 штук: 950 рублей 
Успеть купить
WhatsApp 79968982879 
 Бронь с оплатой %
https://vk.com/id438364260",fire (flames),awesome/amazing/great,HIGH,"«Топ» употребляется в значении «на пике популярности, в тренде» — используется в качестве оценки предмета или явления.",0,2025-10-19,https://vk.com/wall-180651139_61517,-180651139,61517,slang,Yes,Yes
огонь,"🖤❄New Premium Collection 
🖤❄Цена 1350 
🖤❄Размер 36/37/38/39/40/41 
🖤❄Коробка в коробке ‘6 пар’ 
🖤❄Качество огонь 🔥 
‼‼НАТУРАЛЬНЫЙ ШЕРСТЬ‼‼ 
✅‼ ЗИМА❄🥶‼✅",fire (flames),awesome/amazing/great,HIGH,"«Пушка» в данном контексте означает что-то очень крутое или классное, используется для описания отличного праздника.",2,2025-10-19,https://vk.com/wall811080075_40473,811080075,40473,slang,Yes,Yes
огонь,"цена 750
коробка в коробке 6 пар
зима
для заказа пишите в личку или в : 
качество огонь
натуральный шерсть
размер 36/37/38/39/40/41
new premium collection
Сапоги",fire (flames),awesome/amazing/great,HIGH,"«Жесть» используется в смысле «что-то страшное, шокирующее» — выражает эмоциональную, негативную реакцию на события.",0,2025-10-19,https://vk.com/wall-95812324_43786,-95812324,43786,slang,Yes,Yes
огонь,"Тут у меня все слова пропали, а у вас ?

Огонь или пушка?🔥

Визажист [id112643086|Ольга Филиппова]",fire (flames),awesome/amazing/great,HIGH,"«Бомба» употребляется в значении «очень крутой, высокого качества», не буквально.",3,2025-10-19,https://vk.com/wall615255834_2186,615255834,2186,slang,Yes,Yes
огонь,"Цена штучно: 1600руб
Тюль и шторы, текстиль
С НОВО ПОЛУЧИЛИ 
ДОЛГОЖДАННЫЙ ВАШИ МЕЧТА 
ЛИОН РОГОЖКА ДВУСТОРОННИЙ 
КАЧЕСТВА ПРОСТО ОГОНЬ 
4 м ширина 2,8 высота без тюли 1600 рублей 
4 м ширина 2,8 высота с тюлью 2000 рублей
Тел 8-929-669-37-61 ВОТСАП",fire (flames),awesome/amazing/great,HIGH,"«Пушка» используется в значении «отличное, высокое качество», не относится к буквальному оружию.",0,2025-10-19,https://vk.com/wall521287224_48611,521287224,48611,slang,Yes,Yes
