SENTENCE,FULL_CONTEXT,MOVIE_ID,SENT_ID,REGION,YEAR,term
"I remember Eric Cantona just shaking his head and I'm thinking,",""" Probably scored like, maybe on the angle from 40 yards or something like that."" <i> I remember Eric Cantona just shaking his head and I'm thinking, </i> "" That's Eric Cantona, and he obviously thinks the goal was pretty good.""",5778643,1309,UK,2013,head
Brooklyn school kids hose them down... during a sweltering hot New York summer's day.,William Klein. <i> Brooklyn school kids hose them down... during a sweltering hot New York summer's day. </i> 672...,6224678,658,UK,2014,hot
They had a sports bag.,I saw four of them outside a house in Street. <i> They had a sports bag. </i> There were four of them.,6224678,971,UK,2014,bag
"I'll go, and then I'll just come right back.","I'll go. <i> I'll go, and then I'll just come right back. </i> Don't be mad if I have this all done by the time you get back.",3151540,186,US,2007,come
You pull people's teeth all day.,"Hey, Johnson, you're barely a dentist. <i> You pull people's teeth all day. </i> It don't matter.",3151540,788,US,2007,pull
We come off like amateurs... some average band trying to come to grips with success... jealous and fighting and breaking up.,""" So what""? <i> We come off like amateurs... some average band trying to come to grips with success... jealous and fighting and breaking up. </i> We're buffoons.",54446,1770,US,2000,"come, off"
If you come to Cleveland...,"You're one of us. <i> If you come to Cleveland... </i> Bowie's gonna be at Swingo's, the greatest hotel in America.",54446,1076,US,2000,come
I was just having a bad dream.,"Sorry, honey. <i> I was just having a bad dream. </i> - Hey, wifey.",5905224,1079,US,2012,bad
Your daughter will run it.,Maybe some little leftist website? <i> Your daughter will run it. </i> It'll get some play.,3967329,1775,US,2010,run
"- How about a game of Keno, Gus?","Absolute crap. <i> - How about a game of Keno, Gus? </i> - I don't think so.",4744540,316,US,2012,game
I think he's our man.,I've asked Pete Hunter to join us. <i> I think he's our man. </i> He's Assistant Chief Constable of the Greater Manchester force.,3472293,48,UK,2009,man
"John, me and you'll head over first thing.","Thank you. <i> John, me and you'll head over first thing. </i> Helen, we'll meet you in Leeds Tuesday morning, nine sharp.",3472293,126,UK,2009,head
"You work your team too hard, Mr Hunter.","OK. <i> You work your team too hard, Mr Hunter. </i> I'll be the judge of that.",3472293,643,UK,2009,"hard, work"
"I'm more of an Emerson, Lake and Palmer man myself.","Fuck off! <i> I'm more of an Emerson, Lake and Palmer man myself. </i> I thought you were fucking great.",3670999,171,UK,2010,man
"When you're one-nil down and you score that equaliser, you know it's coming.","And Yorke! <i> When you're one-nil down and you score that equaliser, you know it's coming. </i> COMMENTATOR:",5778643,443,UK,2013,score
- It was scary to live with.,"Do you know, it was hard to live with. <i> - It was scary to live with. </i> - But you survived.",6224678,842,UK,2014,live
"Start having fun with it, and if you do, then the guests will be more likely to come.","Stop thinking of this as just your divorce and start thinking of this as a... celebration of our lives together. <i> Start having fun with it, and if you do, then the guests will be more likely to come. </i> Just think about it.",5905224,1649,US,2012,come
"I'm telling you, you're coming along at a very dangerous time for rock and roll.","I just own the best umbrella. <i> I'm telling you, you're coming along at a very dangerous time for rock and roll. </i> The war is over.",54446,1282,US,2000,roll
"I work as hard, or harder, than anybody on that stage.","He won't write it. <i> I work as hard, or harder, than anybody on that stage. </i> You know what I do?",54446,862,US,2000,"hard, work"
Take those extra years and do what you want.,You're unique. <i> Take those extra years and do what you want. </i> Go to Europe for a year.,54446,129,US,2000,extra
Do you not feel bad about Woody?,"- What? <i> Do you not feel bad about Woody? </i> What do you mean, do I not feel bad about him?",3179568,1473,UK,2006,bad
This is my first Sunday off in three months.,"What we feel? <i> This is my first Sunday off in three months. </i> Is that your best fucking question, Mr Hunter?",3472293,814,UK,2009,off
""" We're going to beat them in extra time.""","That was my mindset straight away. <i> "" We're going to beat them in extra time."" </i> And the next minute and a half, I couldn't even tell you what happened.",5778643,1877,UK,2013,"beat, extra"
"It is going to take you on a dark, dark journey.","You see, this stuff, <i> It is going to take you on a dark, dark journey. </i> In addition, you will know what it is to feel true fear.",6224678,1245,UK,2014,dark
Simon Kirke from Bad Company is by the pool.,You are going to get me in so much trouble! <i> Simon Kirke from Bad Company is by the pool. </i> Housekeeping.,54446,639,US,2000,bad
Boo Radley is the most interesting character in To Kill a Mockingbird.,- What about Boo? <i> Boo Radley is the most interesting character in To Kill a Mockingbird. </i> Boo Radley is the most interesting character in To Kill a Mockingbird.,54446,35,US,2000,kill
"Well, you move in with us.","At least I'll have somebody to call 911 in case, god forbid, something happens to me in the middle of the night. <i> Well, you move in with us. </i> We'll take care of you.",5905224,1595,US,2012,move
"Well, Daddy's had a long day at work and he's finally finding some time to enjoy himself.","She wants me to spend the night. <i> Well, Daddy's had a long day at work and he's finally finding some time to enjoy himself. </i> Just have her come over here.",3151540,175,US,2007,"long, work"
- They can't fire you over an illness.,"- and drinking little umbrella drinks. <i> - They can't fire you over an illness. </i> Yeah, well, they can certainly phase me out.",4744540,445,US,2012,fire
This is a big game today.,"Back in your seat, Eric. <i> This is a big game today. </i> Let's think baseball?",4744540,763,US,2012,game
'76 was a very quiet one.,"I want you to do 1974,' 75 and' 76. <i> '76 was a very quiet one. </i> That's favouritism from the boss, I reckon.",3472293,290,UK,2009,quiet
""" The more interesting a man, the greyer his trousers.""","After all, you know what they say. <i> "" The more interesting a man, the greyer his trousers."" </i> But they also say,"" You're never alone with schizophrenia.""",3670999,284,UK,2010,man
You got to Come quick!,You have to come quick. <i> You got to Come quick! </i> 50 Middleton Street.,6224678,1430,UK,2014,come
How do you think he got that burn mark.,Yes. <i> How do you think he got that burn mark. </i> Accident.,6224678,1363,UK,2014,burn
"- Thank you, my good man.","Here we go. <i> - Thank you, my good man. </i> - And we never met.",5905224,770,US,2012,man
As long as it takes.,How long? <i> As long as it takes. </i> What are you doing?,4744540,1419,US,2012,long
If your flight was at 3 o'clock I could've dropped you off at the airport.,"Go, go, go, go, go, go, go, go, go, go! <i> If your flight was at 3 o'clock I could've dropped you off at the airport. </i> I know, I know.",5905224,958,US,2012,off
We didn't come here to...,We came here to watch baseball. <i> We didn't come here to... </i> Talk.,4744540,1212,US,2012,come
"And the horse ran off, right out over center field.","Well, you kept pestering me about getting up on the horse. <i> And the horse ran off, right out over center field. </i> I thought it was gonna go through the center field fence.",4744540,959,US,2012,off
What you doing with hot dogs?,I'm not a pole dancer. <i> What you doing with hot dogs? </i> I couldn't hold out any longer.,4744540,923,US,2012,hot
Do you not feel bad about just leaving him like that?,- I'm not saying that. <i> Do you not feel bad about just leaving him like that? </i> - He's been our mate for...,3179568,1481,UK,2006,bad
But initially you didn't think it was the same man.,"I mean, that's very rare. <i> But initially you didn't think it was the same man. </i> At the start, the only links we had was that they were all slags.",3472293,592,UK,2009,man
"If we do well, we will have disgusting ice cream.","Dear Jemima, I've been working with a man called Chaz. <i> If we do well, we will have disgusting ice cream. </i> If we don't, we will cry.",3670999,608,UK,2010,ice
But we'd like to finish anyway with a song called Blackmail Man.,It's the worst gig we've ever played since Sidcup Crematorium. <i> But we'd like to finish anyway with a song called Blackmail Man. </i> - One!,3670999,139,UK,2010,man
"That season, the Liverpool game, we knew we'd score late,","It's at the back of their mind that,"" They always come back, these."" <i> That season, the Liverpool game, we knew we'd score late, </i> - the opposition knew we'd score late.",5778643,458,UK,2013,"game, score"
"Tom, why am I only getting to meet Christina after so long?","Put me off reading for life. <i> Tom, why am I only getting to meet Christina after so long? </i> I do not know.",6224678,565,UK,2014,long
"And thought the work Was incredibly atmospheric, and I'd be very interested In showing your work.","I saw a number of your stills In an old gallery brochure. <i> And thought the work Was incredibly atmospheric, and I'd be very interested In showing your work. </i> My number is 0207-843-3582.",6224678,385,UK,2014,work
Couldn't work that one out for yourself?,"Yeah. <i> Couldn't work that one out for yourself? </i> Well, I could, however, I had Ed.",6224678,483,UK,2014,work
"All those dead-end jobs, Tom.","You were the one he wanted To make notice him. <i> All those dead-end jobs, Tom. </i> I thought you did Them to escape.",6224678,19,UK,2014,dead
"I n eleven years, it's gonna be 1 984, man.","And you know it! <i> I n eleven years, it's gonna be 1 984, man. </i> Think about that!",54446,937,US,2000,man
If I ever met a man in the real world... who looked at me the way you just looked at me--,"I don't even know your real name. <i> If I ever met a man in the real world... who looked at me the way you just looked at me-- </i> When and where does this"" real world"" occur?",54446,1376,US,2000,man
I gotta work in the morning.,"I can't do this. <i> I gotta work in the morning. </i> Yeah, so you'll work, you'll be tired.",3151540,901,US,2007,work
"Gus, did you ever think in a million years computers would be a part of this game?","Just doing my homework, that's all. <i> Gus, did you ever think in a million years computers would be a part of this game? </i> Computers?",4744540,176,US,2012,game
I'm just a broken-down old man.,You never tried. <i> I'm just a broken-down old man. </i> And you ought to get as far away from me as you can.,4744540,1641,US,2012,man
- Hope the shoes are off.,- In the back! <i> - Hope the shoes are off. </i> - Shoes are off.,3151540,758,US,2007,off
"It was just a long time ago, that's all.","Nothing. <i> It was just a long time ago, that's all. </i> - Here, I got it.",4744540,967,US,2012,long
"I know, I feel bad, as well, but...","He looked gutted, Combo. <i> I know, I feel bad, as well, but... </i> Oh, fucking hell, let's face it.",3179568,1318,UK,2006,bad
"I know you had a good dad, like, but, be honest with me, what do you really think makes a bad dad, though?","I'm not a dad, am I? <i> I know you had a good dad, like, but, be honest with me, what do you really think makes a bad dad, though? </i> I don't know, man.",3179568,2172,UK,2006,bad
I've a young man outside.,"What can I do for you, Mr Laws? <i> I've a young man outside. </i> He's an unsettled lad, but he's desperate to speak to you.",3472293,513,UK,2009,man
"Dear Jemima, I've been working with a man called Chaz.","What a palaver. <i> Dear Jemima, I've been working with a man called Chaz. </i> If we do well, we will have disgusting ice cream.",3670999,607,UK,2010,man
""" How many chances do you want to score here?""","I got a bit of a roasting at half time, I remember, for that game. <i> "" How many chances do you want to score here?"" </i> Nothing was going right for us.",5778643,1498,UK,2013,score
He had a burn mark on the right side of his chest.,You did not know my son. <i> He had a burn mark on the right side of his chest. </i> Yes.,6224678,1361,UK,2014,burn
He was always the first thing That came into my head.,"Whenever there was A pause, a silence, my thoughts would just Drift towards him. <i> He was always the first thing That came into my head. </i> Sometimes the only thing.",6224678,5,UK,2014,head
The Yankees win the game!,I do not believe it! <i> The Yankees win the game! </i> What a weirdo.,4744540,293,US,2012,game
Five days is a long time to talk.,"We were just catching up on things, you know, doing the whole P.R. game with her, her what a great franchise Lipnick's is gonna be. <i> Five days is a long time to talk. </i> Did she tell you why she went missing prom night?",5905224,989,US,2012,long
"Hey, man, I'd travel on a pogo stick if I thought we could make more money.","No way. <i> Hey, man, I'd travel on a pogo stick if I thought we could make more money. </i> You could play more dates with a plane.",54446,1267,US,2000,"man, stick"
You can take off the rest of the week.,No need to rush back. <i> You can take off the rest of the week. </i> Excuse me?,4744540,1332,US,2012,off
How long do you think?,I can wait. <i> How long do you think? </i> I'm afraid it may never happen.,5905224,1545,US,2012,long
"My little man, here, wanted to surprise you on your birthday and all that.","It's just... <i> My little man, here, wanted to surprise you on your birthday and all that. </i> Happy birthday, Smell.",3179568,1780,UK,2006,man
"Milky, man, are you all right?","Milky! <i> Milky, man, are you all right? </i> Shut up!",3179568,2213,UK,2006,man
"I bet you've warned them, but they never listen.","They never learn, do they, George? <i> I bet you've warned them, but they never listen. </i> Your voice is almost sad.",3472293,35,UK,2009,bet
"But I mean, that was the biggest relief I've ever had in my life, to come off that field winners of the Youth Cup, you know, and see them lifting the Youth Cup.","And that was a really tough game. <i> But I mean, that was the biggest relief I've ever had in my life, to come off that field winners of the Youth Cup, you know, and see them lifting the Youth Cup. </i> It was sensational.",5778643,221,UK,2013,"come, off"
So... how is work going for you?,Sucker for punishment. <i> So... how is work going for you? </i> Good.,6224678,43,UK,2014,work
"Yeah, so you'll work, you'll be tired.","I gotta work in the morning. <i> Yeah, so you'll work, you'll be tired. </i> So what?",3151540,902,US,2007,work
"A cup of tea for the boys there, Banj.","A really good man. <i> A cup of tea for the boys there, Banj. </i> Few Pot Noodles or something.",3179568,1310,UK,2006,tea
I just feel really bad.,"I'll sort it, I promise you. <i> I just feel really bad. </i> He looked gutted, Combo.",3179568,1316,UK,2006,bad
'.. of the man they would like to question in connection with the killing.',"OK, thank you. <i> '.. of the man they would like to question in connection with the killing.' </i> Pete.",3472293,1107,UK,2009,man
There were bad men there-,"She was a barmaid. <i> There were bad men there- </i> John Dawson, policemen- Bob Craven, Tommy Douglas.",3472293,1276,UK,2009,bad
"As of today, Detective Chief Superintendent Maurice Jobson will have sole responsibility for the hunt for this man.","Resign! <i> As of today, Detective Chief Superintendent Maurice Jobson will have sole responsibility for the hunt for this man. </i> Would you comment on allegations that valuable time has already been lost on this investigation?",3472293,148,UK,2009,man
"# The juice of the carrot, the smile of the parrot","# Going on 40, no electric shocks <i> # The juice of the carrot, the smile of the parrot </i> # A little drop of claret, anything that rocks",3670999,1758,UK,2010,juice
# So long have I been languished on the shelf,# And thank the Creator you're not in the state I'm in <i> # So long have I been languished on the shelf </i> # I must give all proceedings to myself,3670999,1702,UK,2010,long
"With Giggsy it's almost slow motion, he glides on the top of the surface, his feet don't touch the ground.","Everything is moving. <i> With Giggsy it's almost slow motion, he glides on the top of the surface, his feet don't touch the ground. </i> He picked the ball up.",5778643,755,UK,2013,touch
I'm surprised that the car could even move.,"And he used to wrap it round the gearstick, wrap it round the steering wheel, and it was the thickest chain... <i> I'm surprised that the car could even move. </i> It was like an anchor, and it was just purely for security.",5778643,1704,UK,2013,move
Before you realize you are wet.,How many times are you going to let these little fuckers piss on you. <i> Before you realize you are wet. </i> Yeah.,6224678,1093,UK,2014,wet
"It's greed that makes the government in this country cut the interest rates to one-percent, after 9/ 11.","Because, gee whiz, we all know that prices of houses in America always go up, right? <i> It's greed that makes the government in this country cut the interest rates to one-percent, after 9/ 11. </i> So we could all go shopping again.",3967329,584,US,2010,cut
"I'm telling you, you're coming along at a very dangerous time for rock' n' roll.","And then it just becomes an industry of cool. <i> I'm telling you, you're coming along at a very dangerous time for rock' n' roll. </i> That's why I think you should turn, go back, and be a lawyer or something.",54446,242,US,2000,roll
- You're a brave young man.,"Don't worry. <i> - You're a brave young man. </i> - Oh, yes.",5905224,480,US,2012,man
But we got to live it going forward.,"Hey, anyone can figure out life when you're looking back on it. <i> But we got to live it going forward. </i> Right, Jakie?",3967329,1923,US,2010,live
"He did some bad things, did Eric.","I don't know. <i> He did some bad things, did Eric. </i> But he didn't deserve what happened to him.",3472293,683,UK,2009,bad
"Can you help me take it off, please?","Broke me new leg. <i> Can you help me take it off, please? </i> Ian?",3670999,807,UK,2010,off
"Come on, Baxter, I'm working.","Couple of more poses. <i> Come on, Baxter, I'm working. </i> Hold it.",3670999,1039,UK,2010,come
"# Well, I'm the blackmail man and I know what you do, every one of you","# I'm the blackmail man <i> # Well, I'm the blackmail man and I know what you do, every one of you </i> # I'm the blackmail man",3670999,150,UK,2010,man
""" it's just the game for you."" I was like,","He said,"" I've got a game for you, two weeks on Saturday, <i> "" it's just the game for you."" I was like, </i> "" So I'm not playing for four games?"""" You make sure you prepare for that one.",5778643,1039,UK,2013,game
But it's worth reminding them that work ethic is so important.,"Because they come from far more privileged backgrounds than I did, and their grandparents and their fathers came from. <i> But it's worth reminding them that work ethic is so important. </i> It doesn't matter how good a player you are, if you're not prepared to work and have a desire to work, then it means nothing.",5778643,1096,UK,2013,work
Any man would feel the same way.,Are not you? <i> Any man would feel the same way. </i> Do not you think?,6224678,1161,UK,2014,man
I bet Tom's never mentioned me before.,- I am sure. <i> I bet Tom's never mentioned me before. </i> - You look a bit shocked.,6224678,140,UK,2014,bet
"I know you have a hard deadline for the presentation, so I'm here if you need me.","I've outlined my approach a bit different. <i> I know you have a hard deadline for the presentation, so I'm here if you need me. </i> It's priority.",4744540,1255,US,2012,hard
And let's just pause and appreciate a man like that.,"He respects women, and he likes women. <i> And let's just pause and appreciate a man like that. </i> You created him out of thin air, you know, you raised him right.",54446,672,US,2000,man
Ice Cube isn't an actor.,"What? <i> Ice Cube isn't an actor. </i> He's in the movies, ain't he?",4744540,640,US,2012,ice
"- Hey, man, you wanna go get a drink?","You take a journey and discover yourself. <i> - Hey, man, you wanna go get a drink? </i> - I can't drink.",3151540,241,US,2007,man
"'She went into the back and I tried to hit her, but I missed.","Her eyes were looking at me. <i> 'She went into the back and I tried to hit her, but I missed. </i> 'I caught the side of the door instead.",3472293,1244,UK,2009,hit
'I pulled all her clothes off and stabbed her...'..,So I held it again. <i> 'I pulled all her clothes off and stabbed her...'.. </i> I was steaming with anger.,3472293,1234,UK,2009,off
"I come from Billericay, and I'm doing very well!","My given name is Dickie, <i> I come from Billericay, and I'm doing very well! </i> # Had a love affair with Nina in the back of my Cortina",3670999,4,UK,2010,come
"You'd come in the dressing room and there was a tray of sandwiches and, you know, the big hot silver pots with tea in or coffee.","SCHOLES: <i> You'd come in the dressing room and there was a tray of sandwiches and, you know, the big hot silver pots with tea in or coffee. </i> Obviously we were just sat in the dressing room, a freezing cold day.",5778643,1127,UK,2013,"come, hot, tea"
""" That's hard that, to see your brother play in front of you.""",""" Phil's got in and you're not,"" and thinking, <i> "" That's hard that, to see your brother play in front of you."" </i> And I think Gary probably deep down knew he wasn't playing, and he took it well, he did.",5778643,1013,UK,2013,hard
"In addition, the dead cat.","And the shit in the letter box. <i> In addition, the dead cat. </i> - All your work.",6224678,1185,UK,2014,dead
I got a chance to win this game in front of all these scouts.,You better get your skinny little ass on base. <i> I got a chance to win this game in front of all these scouts. </i> I'm visualizing mega endorsement deals.,4744540,1300,US,2012,game
He's a self-directed man with ambition and dreams.,"I know he's a good man with a brilliant head on his shoulders. <i> He's a self-directed man with ambition and dreams. </i> And he loves me to bits, grandpa.",5905224,375,US,2012,man
I'm sick of playing with candy-asses.,"That's it. <i> I'm sick of playing with candy-asses. </i> You know, Alan, I really think this is inappropriate.",3151540,1865,US,2007,sick
I know how hard you worked for all of this.,"But, Brett, congratulations. <i> I know how hard you worked for all of this. </i> I go by"""" Bretton"""" these days.",3967329,1445,US,2010,hard
You both live in the same city.,You should give her a call. <i> You both live in the same city. </i> - You really think I should?,54446,1878,US,2000,live
"Tell him I'm not mad at him and we're still friends, okay?","I don't want his million dollars. <i> Tell him I'm not mad at him and we're still friends, okay? </i> Just tell him that.",3151540,1022,US,2007,mad
Kid's nothing but a dead-red hitter.,"Well, I'm not wrong. <i> Kid's nothing but a dead-red hitter. </i> Oh, you can watch him if you want and see if he develops... but no more than that.",4744540,1496,US,2012,dead
"Hey, did you get your work done?","Well, good to see you. <i> Hey, did you get your work done? </i> Some of it.",4744540,1272,US,2012,work
"That's a proud man, there.","Learn from him. <i> That's a proud man, there. </i> That's what we need, man.",3179568,1143,UK,2006,man
Did you have a safe journey?,Get off your ship. <i> Did you have a safe journey? </i> Was it hard?,3179568,1159,UK,2006,safe
"You've been around all this a long time, haven't you?","Bob, can I have a word? <i> You've been around all this a long time, haven't you? </i> Ripper?",3472293,468,UK,2009,long
- I need some time off.,"Ian, I, um... <i> - I need some time off. </i> - Yeah, don't we all?",3670999,1355,UK,2010,off
"Go on, off you go.","- Only boring people get bored. <i> Go on, off you go. </i> Baxter, I'm not gonna tell you again.",3670999,1036,UK,2010,off
"Two hours later, they hit a hairpin bend.","Him and Eddie Cochran were the brightest stars in the firmament when they climbed into a cab outside the Savoy, April 16th, 1960. <i> Two hours later, they hit a hairpin bend. </i> Crash!",3670999,445,UK,2010,hit
You should come and see me.,"I got a nice penthouse in Old Victoria, I'm happy with me digs. <i> You should come and see me. </i> Would you like that?",3670999,543,UK,2010,come
"You know, a new fan base, new beginnings.","Well, here's an opportunity to introduce yourself all over again. <i> You know, a new fan base, new beginnings. </i> Oh, dear.",3670999,1550,UK,2010,base
"They're just so bad it's shocking, aren't they?","You've probably got footage of the songs as well, haven't you? <i> They're just so bad it's shocking, aren't they? </i> Just something so much out of my comfort zone, it's untrue.",5778643,1620,UK,2013,bad
"And he had the same attitude with Beckham, when he was sent off with England, with me when I was... sent off in Crystal Palace, and the club had the same attitude.","I said the same prayer every week for the rest of my career. <i> And he had the same attitude with Beckham, when he was sent off with England, with me when I was... sent off in Crystal Palace, and the club had the same attitude. </i> I played for France this time.",5778643,1409,UK,2013,off
"You knew you were in a massive game then, and then you just look for your family, give them a little wave and then it's just game on then.","We took up three-quarters of the ground. <i> You knew you were in a massive game then, and then you just look for your family, give them a little wave and then it's just game on then. </i> This is it for us.",5778643,1779,UK,2013,"wave, game"
""" So, if you're feeling tired, or if you feel like you can't run any more,",""" You know, you hadn't won it. <i> "" So, if you're feeling tired, or if you feel like you can't run any more, </i> "" just think Of that.""",5778643,1796,UK,2013,run
"And going into the game, I'll never forget walking out the tunnel, and all I remember thinking was one, I hope I play well, two, I hope we win, and three, I hope my brother gets on the pitch.","They're tough moments to have to get over, but you're happy because he's playing, and you certainly don't ever want him to fall over or make a mistake, but also there's still that competitive tension, because we're in similar positions. <i> And going into the game, I'll never forget walking out the tunnel, and all I remember thinking was one, I hope I play well, two, I hope we win, and three, I hope my brother gets on the pitch. </i> And that was my thought process going into the game.",5778643,1017,UK,2013,game
"To think that that's a football player, who can kick a football well.","I mean, it's phenomenal. <i> To think that that's a football player, who can kick a football well. </i> So I went to visit this obscure little Japanese school in the middle of nowhere, and I went in and was introduced to the school assembly.",5778643,1335,UK,2013,kick
"You know, big 6' 8"" man, giant.","I did one once with a teapot and Peter Schmeichel. <i> You know, big 6' 8"" man, giant. </i> SCHOLES:",5778643,1125,UK,2013,man
"Good to see you, man.","Hey-hey! <i> Good to see you, man. </i> Some people have a hard time explaining rock' n' roll.",54446,362,US,2000,man
"You've known this man for only a few months, and now you're ready to marry him?","Oy. <i> You've known this man for only a few months, and now you're ready to marry him? </i> What do you know about him?",5905224,372,US,2012,man
Hire him as head manager?,"Why would you do that? <i> Hire him as head manager? </i> No matter what you say or do, I am never going out with him.",5905224,512,US,2012,head
Don't be mad if I have this all done by the time you get back.,"I'll go, and then I'll just come right back. <i> Don't be mad if I have this all done by the time you get back. </i> Because I'm on a roll here.",3151540,187,US,2007,mad
I was hoping that you were gonna come.,I'm so happy you're here! <i> I was hoping that you were gonna come. </i> I saw you on the cover of that one magazine.,5905224,1713,US,2012,come
"Business didn't work out with Eric, then?","All this is on the never never, isn't it? <i> Business didn't work out with Eric, then? </i> What business?",3472293,755,UK,2009,work
# Hit me with your rhythm stick,# Every womans' every man <i> # Hit me with your rhythm stick </i> # Hit me Hit me,3670999,1195,UK,2010,"hit, stick"
# Hit me with your rhythm stick,"# Hit me, hit me, hit me! <i> # Hit me with your rhythm stick </i> # It's nice to be a lunatic",3670999,1199,UK,2010,"hit, stick"
"Just remember, keep your head up, keep kicking, try not to drown.","You'll be all right. <i> Just remember, keep your head up, keep kicking, try not to drown. </i> "" When a free man dies, he loses the pleasure of life.",3670999,1677,UK,2010,head
At the time I didn't realise what would come after that.,"Oh, no! <i> At the time I didn't realise what would come after that. </i> I never thought that I would have to go through what I went through.",5778643,1361,UK,2013,come
"Come on, find a spot.","This game's been going on for two years. <i> Come on, find a spot. </i> - This is Mick.",54446,1294,US,2000,come
"Shut that thing off for a second and I'll tell you the truth, all right?","So, what is it you love about music? <i> Shut that thing off for a second and I'll tell you the truth, all right? </i> Look-",54446,685,US,2000,off
It's just a shame you missed out on rock' n' roll.,Your writing is damn good. <i> It's just a shame you missed out on rock' n' roll. </i> - It's over.,54446,196,US,2000,roll
You didn't make any money off it.,"I checked you out with the desks in town. <i> You didn't make any money off it. </i> No, I didn't.",3967329,1017,US,2010,off
I'm gonna love the look on your face when I make so much money off this.,I'll ream you on the commission. <i> I'm gonna love the look on your face when I make so much money off this. </i> I'll have no choice but to walk away.,3967329,321,US,2010,off
