sentence,is_slang,slang_words,dataset
לא מת העולם,1,מת,Norod78/HebrewLyricsDataet
חשמל זורם בכפות ידיך,1,זורם,Norod78/HebrewLyricsDataet
הדלקת בי אש,1,אש,Norod78/HebrewLyricsDataet
אש בעיניים,1,אש,Norod78/HebrewLyricsDataet
חשמל זורם בכפות ידיך,1,זורם,Norod78/HebrewLyricsDataet
תגידי אש תגידי מים,1,אש,Norod78/HebrewLyricsDataet
חשמל זורם בכפות ידיך,1,זורם,Norod78/HebrewLyricsDataet
אש בשפתותייך,1,אש,Norod78/HebrewLyricsDataet
אני מת לדעת,1,מת,Norod78/HebrewLyricsDataet
אש בנעליים,1,אש,Norod78/HebrewLyricsDataet
דפוק וזרוק,1,דפוק,Norod78/HebrewLyricsDataet
"אדם עובד אני לא מבין למה אני צריך ללקק לה את חור התחת. אני אדם עייף, אני הולך לישון מאוד מאוחר, ובבוקר אני צריך לקום לעשן סיגריה ולקחת את התרופות שלי. שנים אולי יובלות לא שתיתי מיץ עגבניות, אני מתגעגע לגלידה אמיתית של שוקו-וניל עם סוכריות, מחלב אמיתי. אבל השיניים שלי כבר לא בסדר, לא היה לי זמן המון שנים לצחצח אותן, ולכן הקור והמתיקות של הגלידה יכאיבו לי. אבל ללקק לה את התחת זה סתם מגעיל. בסדר, אני גמיש. אני יוצא מהבית בערך ב-6 בערב ומסתכל למוכר בעיניים. הוא מסתכל בי בתמיהה, ואני חושף שיניים ועושה גרררר... ואז הוא ישר מביא לי את הסיגריות שאני מבקש, אפילו בלי לבקש כסף. אומר אני ארשום את זה על החשבון שלה. והוא באמת רושם את זה על החשבון שלה, ואני זה שצריך לעשן וללקק לה את התחת. אני יודע לא בריא לעשן. אני לוקח מן כדורים כאלה שמנקים קצת את הריאות. ""סולבקס"" קוראים אותם. אבל לפעמים כל הסיגריות עולים לי לראש, ואני מרגיש כמו בתוך מכונה. זה קורה בערך פעמיים-שלוש בשנה. אז אני שותה כמה שלוקים של בירה, אפילו שאני שונא בירה, (יש לזה טעם של סבון ושתן,) והראש שלי עם כל המכונה נעצר. אני נעצר. אני שוכב",1,חור,Norod78/HebrewStageAndLyricsWithNewLines
"מוחה בידי, ומנגב במגבת מטבח (יש נמושות שמצחצחים שיניים, אני לא. שיסריח הפה). מכבה ת'טלוויזיה, קצת רחמים למלי, למנורת המסך ולמוחי. מה עכשיו? אמר טירן: ""אתה עצבני על עצמך? שים את 'האור מציון'"". אני שם את הדיסק הזה של סאבלימינל על רנדום ושומע מילים כמו פצצות לראש: ""שים נעליים, אל תיתקע, זה שדה קוצים שרצים בו, לא שדה כותנה."" ו-""מחשבות שעות על שעות מתבזבזות כי אתה מפחד ומהסס לעשות."" אני סופר, זועק מוחי. אני סופר ואם יש לי זמן פנוי אני אכתוב! אז אני נכנס לחדר השינה שלי, בו יש מחשב, עם מאפרה וחפיסת הסיגריות. מדליק את המחשב ומעלה על הכתב משהו עצבני. נרגעתי קצת. הכתיבה שחררה בי מעט מהעצבים. שמרתי וכיביתי את המחשב. לא יצירת מופת, אבל משהו לקרוא אחר-כך כדי להתעודד. לקחתי את הסיגריות ואת המאפרה וחזרתי אל הסלון למלי הישנה. ניסיתי כמו טיפש להוציא סיגריה מהחפיסה בעודי אוחז במאפרת הפח, והיא נפלה על הרצפה ברעש גדול. מלי זעה בחוסר מנוח בשנתה ואני ניסיתי במהירות, כדי לכפר על הפאשלה, להרים את המאפרה ורגלי חבטה בשולחן העץ הנמוך וקול צרימה של עץ על אבן עלה כמו יבבה של חתול שנפצע בפתאומיות. מלי פקחה את עיניה",1,להרים,Norod78/HebrewStageAndLyricsWithNewLines
"אז כמה אני חם מאחד עד חמש? הייתי אומר חמש! - חם אש!  מדליק את האור, באתי חושך לגרש פיט לא צנוע אני לא מתבייש, כובש כל הר געש, עושה פה רעש כל מילה זה סוכר, כל משפט דבש  כבר לא מסתכל על כולם מהצד  רק רואה איך הבס לא מחזיק מעמד  כי כשאני אתן לכם ת'בום כל אחד יכיר  ישראל על הרגליים - יש כאן אש באוויר!  אני מביא מהפכה, ילד תבין ת'תמונה  מהיום כולם יודעים אני הכי חם במדינה!  אני רואה אותך מולי ומנסה לגעת תגידי באת לפה לבד אני רוצה לדעת  אני שולט ברחבה ואני לא מתבייש כי פה כולם הרי יודעים שאני חם חם אש  חם חם חם חם אש חם חם חם חם אש חם חם חם חם אש חם חם חם חם אש סוף סוף מישהו חדש בביצה  מה-פ' אל ה-י' אל ה-ט' מה יצא$  אני חם לך תביא לי את ה-MIC בריצה  כמה דקות אני מטיל את הפצצה אז יאללה קום או שתקום בכוח  אני הגעתי את המסיבה לפתוח  חמודות לא נותנות לי מנוח  אבל אני כאן לא מתכוון לברוח  מי שולט על הבמה באמת?  מי מוכיח שההיפ הופ לא מת?  היפ הופ אלקטרוני, הבס פה בועט  DJ שים לי את הסאונד החורט  SET מקדם אותי וגם את המחתרת, בוערת יודעת הנה האמת מדברת  יודע שאני בוער אז אל תתחכם אני הוא זה ששורף",1,"מת,אש",Norod78/HebrewStageAndLyricsWithNewLines
העולם הזה שזז מהר לא מוותר ולא עוצר  הולך רחוק ואז חוזר הולך אחד אז יבוא אחר  כמו שבאנו ככה נעזוב בנתיים נזהרים שלא מדי קרוב  לא לראות ולא לחשוב להרים את הראש ולהמשיך לסחוב  גם אני באותו מקום עזוב מה מחר תן לעבור את היום חבל דק על פני תהום  מתחת לשמיים בשחור ואדום  כי אני רק מה שאני כן לא מה שאני לא  עכשיו אתה רואה אותו עכשיו כבר לא  הנה אני שם הינה אני פה  ואם אלך עד לאן אבוא  ואני נשאר אני תמיד מי שאני  נאמן לעצמי בנופלי ובקומי  ולא כל מה שטוב בשבילך הטוב בשבילי  כי כולנו אחים האחד לשני  לא עושה מה שממני מצפים  מעביר את החיים שלי כמו בפיקניק  לא צריך הרבה מה שיש מספיק לי  שלוק של אוזו וניגוב מפול מצרי  יש לי אנטי לסטנדרטי סימנו אותי באיקסים  לא רודף ממון רודף אחרי השליפצס  שורף עלים במשטרה אני חשישניק  לא יוצא בזול יצאתי מהביזנס  אני חבר בחברת עצמי לא מחפש צרות הן מוצאות אותי  לא מתערבב עם המי והמי ואם לא אני לי מי לי מי  ואני נשאר אני...  מי אני ראפר ג'יגני עצבני מי אני  תרומה למדע הבדיוני מי אני  יש לי קצב ועשב ריחני מי אני מה אני מי אני  אני אראה לכם איפה השמש זורחת  איפה נופל,1,להרים,Norod78/HebrewStageAndLyricsWithNewLines
"בא לך שאני אבוא אלייך עכשיו? אני כולה ערס פואטי אז מה אם יש עלי רעש לבן וסטאטי קרוע על התחת שלך חומד כמה את סקסית צאי מזה, יהיה טוב לא עכשיו, בובה, לא היום מה הלחץ? מה בוער? יאללה יאללה, תירגעי מותק בואי נזרום ביחד, תני לעצמך לעוף שוגר, מה קורה? יש לך את זה בייבי, חייכי את ממש מותק, אבל זה לא זה מת להזדיין איתך מה יש לכן עם ה""אני אוהב אותך"" הזה? בא לי עלייך בטירוף אני מת עלייך, חולה עלייך, קרוע עלייך את ממש ממי, אבל זה לא ילך בינינו לא יודע למה, אין לי סיבה אני פשוט לא מסוגל זה לא שאני לא רוצה אני בתקופה קשה זה לא מתלבש לי עכשיו את נורמלית? מה, את מזוכיסטית? ראית מה נהיה מאלו שהיו איתי? לא כדאי לך להישאר איתי עדיף לך בלעדי, תאמיני לי למה לך, אני אהרוס לך את החיים? אני לא שווה אותך תביני, את הרבה יותר טובה ממני",1,מת,Norod78/HebrewStageAndLyricsWithNewLines
עוזי עוזי  הוא לא נקי  דפקו אותי  מסדר נוסף  הרב סמל הפלוגתי  שלוש לירות הקניס אותי  וביום זה שפשף אותי  הרב סמל הפלוגתי  גלגול משמאל  גלגול מימין  והכל זה בגלל עוזי  עוזי עוזי...  אמרתי לו לרב סמל  תעשה טובה תרד מעלי  שלושים ימים בשביל 'תחצפות  בגלל עוזי אני דפוק  עוזי עוזי...,1,דפוק,Norod78/HebrewStageAndLyricsWithNewLines
"וכמעט שלא קר, כמעט שנעים והחיים קשים והלילות שקטים אף פעם לא פוגע ושום דבר לא נובע וזה קורע אותי מבפנים וזה מפחיד אנשים אבל צולל עמוק יותר אני לא רץ מספיק מהר אני כועס, אבל זה לא מניע אני יושב, אנ'לא מגיע",1,מפחיד,Norod78/HebrewStageAndLyricsWithNewLines
"סעמק, דפק לי ת'מדפסת. לא זורם. פשוט... בקריאה שנייה, משהו בשיחה איתו נשמע לי ממש תקוע, איתך עומר.( )הפח שזרקתי לתוכו את הסיגריה , את הממחטה, את הוודקה לעזאזל בפעם השלישית אני מקמטת את הדף וזורקת אותו לפח. קוראת את השיחה שלנו פעמיים, - ""אה יופי, וזה הדפיס בסדר? סבבה"". - ""זה הדפיס לי משהו, נראה לי הדף היה תקוע שם"". שיר ממש יפה, שלחתי את השיחה להדפסה כבר לפניי שבועיים. רואה שזה הדפיס לי את השיחה שלי עם עומר באייסיקיו, הוא כתב - ""אוקיי, ותגידי לי איך זה הדפיס לך"". - ""הדלקתי... ממ זה משך דף, נראה לי זה מדפיס"". - ""אז תנסי להדליק את המדפסת"". כעבור חמש דקות - ""הוצאתי"". כבל עבה וכבל דק? תוציאי אותם שנייה"". - ""אה אוקיי, אממ לא אל תדליקי אותה בינתיים, את רואה מאחורה - ""כן אני ליד המדפסת, להדליק אותה?!"" לאייסיקיו.( מזיזה את הוודקה, מכבה את הסיגריה, מדליקה את המחשב ונכנסת הספר - מחזירה למדף, זורקת את הטישו, מנמיכה את המוזיקה, - ""אהלן, אממ שנייה אני כבר איתך"". )קמה מהמיטה, סוגרת את המדפסת?"" - ""שלום ליאור?! שלום מדברת נעמה מהחברה של המחשבים... את ליד קופצת בבהלה מהצלצול של הטלפון בבית הדמעה שתמיד",1,זורם,Norod78/HebrewStageAndLyricsWithNewLines
"נו...תענה לי כבר קיר לבן ומרופד טיפש שכמוך!!! תענה לי, אדון קיר! אדון קיר לבן! ומה איתך? אה? מה אתה אוהב? מה אותך מצחיק? ממה אתה פוחד? אוהב מסורות. שבוע למקום אחר, לאן שהילד רוצה, זה כיף המסורת הזאתי, אני לבנים ובנות והולכים לבלות. אני עם אהוד ואישתי עם ענת, כל אישתי. יש לנו מסורת כזאתי במשפחה, שכל יום שני אנחנו מתחלקים אלה שמוציאים קולות. ואישתי, אישתי היא המלאך שלי, כזאת מתוקה שלי... הם אוהבים לשחק ביחד, במכשירים הקטנים האלה שלהם, נו לה ענת, ואחד שקוראים לו אהוד. הם כל כך חמודים הקטנטנים את זה. מה? לספר לך על הילדים שלי? אז... יש לי אחת שקוראים הקולה האדומה הזאתי ששפוכה גם על צידי הכוס, לא יודע, לא אוהב בום- הם מתפוצצים להם. לשתות אני כבר לא אוהב. מאז שחלמתי על שהגזים עולים לאט לאט ומתפוצצים למעלה, תענוג... בום בום בום ריקה, הכל אני אוהב! אני אוהב גם קולה, לא לשתות, לראות. איך פיצה אני אוהב. פיצה עם פטריות, בצל, זייתים, טונה ואפילו איך להגיד, מתפוררת לך בפה. אני שונא דברים מתפוררים, אבל אפור. אני אוהב פיצה, מת על פיצה. איך שהגבינה נמתחת וככה... בטטריס, כשהבן שלו עשה שיא! זה השיר שסגר",1,מת,Norod78/HebrewStageAndLyricsWithNewLines
"אז הוא לא היה מצליח לישון בלילות. אתה התנין מאז? וואלה, אני הייתי תנין. ברווז. באמת? מה היית? אל תלכלך, אני התחלתי מבובה. להעריץ אותו כמו אל. אתה צודק, גם בתור ילד הוא לא היה ממוקד, מדובב צעצועים כן, אבל כולנו יודעים שהוא היה ככה גם קודם. אני זוכר, צעקת עליו שיפסיק להשתמש בסמים. עשה, ואז פתאום שנינו שכחנו על מה אנחנו מדברים. אתה מספר לי? לפני יומיים התחלתי לגעור בו על איזה שטות שהוא הקלוקל שלו. חנות אלקטרוניקה באזור, אז אני נאלץ להתמודד עם הזיכרון הרבה יותר זורם. הייתי קונה טייפ מנהלים, רק שאין כאן שום לא, ההוא שכותב. אני אישית תמיד העדפתי לדבר מאשר לכתוב, זה מי, הסקוטי? אני לא, הוא כן. אתה משתמש במקלדת? אדומים, כדי שיוכל לאחות קרעי תמונות שהוא רואה במוחו. ומתאמץ למצוא סופרלטיבים פנטסטיים, מטאפורות שזורות בחוטים שבנאדם יושב בחדר חשוך, אצבעותיו נאבקות עם המקלדת, מוחו קודח שאנחנו בוחרים לא לקרוא לו מציאות. דברים לא מציאותיים כאלה, גם אצלי זה הכל בדמיון, אבל חשוב לזכור שדמיון זה כל מה א... נדמה לי שאפשר לדמיין... אתה לא מצטט שני אנשים שיושבים בתוך הראש שלך? אצל כל הסופרים, אני מתכוון.",1,זורם,Norod78/HebrewStageAndLyricsWithNewLines
"יש משהו שאני צריכה לעשות? טינקרבל: הוא הקובע ,לא אני. בטהובן: קובע ?אני ?כן כן אני הוא הקובע! טינקרבל: מתחשק לך איזה משהו? אוברול:)מתפקע מצחוק( עוד מעט יצא לי פיפי. בטהובן: אני מרגיש צורך בלתי מוסבר לסבון. טופי: ממש בלתי מוסבר )עושה סימן באף(. טינקרבל: סבון. בטהובן: כן, סבון, אני מרגיש מלוכלך ומשומן אני רוצה להתקלח. טינקרבל: אתה מרגיש מלוכלך בקירבתי. בטהובן: לא בגללך אני מוכרח להתנקות כדי להיות נקי וטהור לפחות כמוך. טינקרבל: המילים שלך יפות כמוך ,אתה רעב? בטהובן: לא  רק מלוכלך. טינקרבל: ובכן הביאי לו סבון. )טופי מביאה שמפו( טינקרבל: בוא יש שם מקלחת ,אני אתקלח איתך . בטהובן: )קולות של קוף(. )יוצאים בטהובן טינקרבל וטופי( אוברול: זה נפלא פוק , אתה מפיק פלאים!!! פוק: ואתה מפיק מסיבות אתה יותר שווה ממני. אוברול: נכון מאד , מה עם המשימה השנייה. )נשמעים רעשים( פוק: כשפתי גם את הזה ש""מתעלם"" עלק נדמה לי שהם באים. )מתחבאים בצד( )נכנסים כפיר ומוריה( כפיר: למה את גוערת באהבה תמה? מוריה: נראה לי שהגערה עומדת להפוך למכה , אני ואריה ישנו בלילה והבקר הוא נעלם ,איך תסביר את זה? כפיר: כנראה ברח. מוריה:",1,פיפי,Norod78/HebrewStageAndLyricsWithNewLines
"או שזה שוב רק אני והוויכוחים הפנימיים שלי... חלק בהשפעה על העולם! זה מה שתמיד רצית, לא?! ממילא כבר יש שם חור באוזון, אז הנה, עשית משהו משמעותי! היית יפה  ויש שם הרבה מסוגך, תעשי שם מה שבא לך, אפילו תפליצי, גדול, וקיר גדול, מעל אח גדול, מול חלון גדול, ויש שם נוף אני אשלח אותך לניו זילנד או משהו, יש לי שם חבר עם סלון בוגרת, מגיע לך חיים משלך. תמים, את עוד נראת ככה, קפאת כבר מזמן  אבל את כבר כבשה מחדש, מסתכלת עלי במבט המשועמם והחודרני הזה! את כבר לא שה לרגע הזה, לכי תעמדי על קיר של מישהו אחר! כל פעם, כל שיחה הספות, מחליף את התמונות, כן, אפילו אותך. לכי, חיכית שנים אם הייתי יכול, אז הייתי משנה קודם כל את הסלון  מזיז את עצמי, למה אף פעם אין לי חוסם עורקים זמין בבית כשצריך אותו. מחדש, או את המוות בכל אופן, ראית מה גרמת לי לעשות? להרוג את אני אוהב אותך, אבל נראה לי הגיע הזמן שאני אעצב את החיים של עושה לי את זה, מחזירה לי רק הד. העדר שלך, אף פעם לא לבד, מתי פעם אחרונה חשבת?! הנה, את שוב מנותקת מהעולם, עושה פוזות לכולם, מאחורי מחיצות, תמיד עם הבעיה איתך? שאת כלואה! פשוט כלואה! בתוך המסגרת של",1,חור,Norod78/HebrewStageAndLyricsWithNewLines
"שיבוא עם הסוברו ויעזור לי להעמיס, קצת קרועה בידיים, אבל קלאסית, כל כך יפה, הייתי מעביר עליה שעות, אתם יודעים, טלוויזיה, כבלים, חלומות גדולים, פעמיים ביום אוננות, ואחר כך  קראנו  תולדות האומנות, חיים טובים, באמת... ולא הבנתי שאני מת...  איך... עם הספה הכל הולך... ובחוץ... בחוץ אני מסתבך... הרוס... כשלונות על ימין ועל שמאל... מהבנק התקשרו לשאול... וצעקו... ושנה שנייה לא גמרתי, ולאט לאט נשברתי, וברחתי לספה - חודשיים לא קמתי. וכל הזמן הזה, היא ישבה שם ירוקה כזאת, עם החור הקטן בידיים, איפה שהספוג מציץ, ישבה, מחייכת, כאילו מבינה, עוזרת, תומכת, נותנת מסעד. ומוצצת את אמאמאמא שלי, מרוקנת אותי, וזורקת אותי לרחוב... ואני מסתובב ברחוב, יורק דם, מקמבן את העשר שקל של השאווארמה,  ובראש שלי רק היא: ""אולי נעלה לכוס קפה, סיגריה, נראה מה שלומה, נעשן קטנה... איזה מזל שיש לי ספה."" זונה. התיישב... כפרה עליו, איזה תחת, תענוג. מפה מותק, הוא כבר לא יקום, תאמין לי, לא כל כך מהר. והתחת, התחת שלו זה בדיוק החלק שאני צריכה להביא את הביס, בנאדם כזה, מותק, שום דבר אין לו חוץ מתחת, בנאדם כזה זה תחת שסוחב כושר דיבור,",1,מת,Norod78/HebrewStageAndLyricsWithNewLines
"יש לה חיוך כמו בז'ורנאל  אני כולי כבר מבולבל  שהיא מפזרת ת'שיער  אני מרגיש פתאום ניסער  החברות שלה אומרות  שהיא אוהבת מתנות.  יש לה מבט מלא ריסים  שמכוון אל הכיסים.  פזמון:  אז תלך איתה, שחק את המשחק שלה.  אל תסתבך איתה  אל תסתבך איתה.  אז תלך איתה, שחק את המשחק שלה.  אם תצליח גם תרוויח את הלב שלה.  במועדון ליד הבר-  הרגשתי כבר שזה נגמר.  היא נעלמה היא לא  תחזור  השאירה לי בכיס רק חור.  פזמון:  אז תלך איתה, שחק את המשחק שלה.  אל תסתבך איתה  אל תסתבך איתה.  אז תלך איתה, שחק את המשחק שלה.  אם תצליח אז תרוויח את הלב שלה.  אולי  תצליח  גם תרוויח את הלב שלה.",1,חור,Norod78/HebrewStageAndLyricsWithNewLines
"1     -אחרי מחר דנה תיהיה חייבת לי טובה. -הסקס טוב -שטויות אני מזיין אותה -אולי לחכות -קפה נחמד דווקא, אפשר לשבת פה ולשתות כמה כוסיות. -עכשו להכין קפה, למי יש כוח -הבית מבולגאן מידי בשביל בית של בחורה. -החדר שינה מאחורה, מענין איזה תחתונים לבשתי. -אם את יודעת לעשות קפה, מן הנימוס שתזמיני. -להזמין אותו לכוס קפה? הסקס יצא טוב. -צעד אחרי צעד, היא נראת לי משעממת תלותית וטיפשה, אבל אולי לעוד כוס קפה. -צעד אחרי צעד, הוא לא נראה לי כזה דפוק אני סוכבת אותו איתי 2- יהיה 1- יהיה גם השנה 2- שוב מדברים על שלג אשתקד 1- היה, אבל לא היה קר 2-  לא היה שלג בינואר? 1- אני כבר לא זוכרת מתי היה קר פעם אחרונה       דיאלוג הכי גרוע יהיה לי זיון עם פרה מכוערת, גם לא רע. יום אחד היא תעשה לי טובה... וחפיפ דנה היא כוסית עולמית. אז אם אני אעשה לה טובה, אולי דנה לא מצאה מישהו לדייט עם חברה שלה, אז היא ביקשה ממני,",1,דפוק,Norod78/HebrewStageAndLyricsWithNewLines
"שלו מהכיסא והמשיך לשבת. יכניס לי מכות, התקרבתי אליו בחשש ונעמדתי על ידו, והוא, הוא בומבה קורא לעברי ""ילד, בוא הנה, בוא, בוא"". מרוב פחד שלא בקיוסק. אני לא יודע מאיפה זה בא אבל זה הגיע בבום. פתאום זה היה יום מגעיל שכזה, יום חם ולח ובומבה שוב יושב לו ואני עובד לידו. לא מחליפים מבטים, שלא לדבר על לדבר. לסנוור אותי עם השמש של הבוקר. ככה כל בוקר, הוא יושב לו שם את הכרס הענקית שלו, אותו שרשר עצבני שאיכשהו תמיד מצליח בומבה יושב לו שם בחוץ על כיסא מפלסטיק עם גופיה לבנה שמבליטה כל בוקר בדרך לבית-הספר אני עובר בקיוסק השכונתי ורואה את בטעות שן אחת יותר מדי. נראה כאילו יש לו אולי ארבע שיניים בפה וגם זה אם לא הוספתי ממנו מכות רצח. בומבה היה כבר איש מבוגר - כזה שכשהוא מחייך השמועות אומרות שאם מישהו היה מעצבן את בומבה הוא היה חוטף",1,רצח,Norod78/HebrewStageAndLyricsWithNewLines
"אף אחת מפה לא ראויה לחיבוק שאחרי  אני כמו קוקה קולה, דביק מתקתק ודוחה  במועדון ממול הם מחפשים שם נשק על ילדים  כדור אחד לראש אחד במחסנית לדור המקסים  הנה בא משיח קרטון  הוטי אירוטי וכלבונת הם עושים אהבה  טובה  סקסי סקסי לא יכול להפסיק ללטף את גופה  הלוהט אש להבה  לא רחוק משם זה בנצי מתנחל רוקד בין הגבעות  בועל את האדמה בנידתה ודם זורם בין יריכה השמנות  משקיף בבוז אל המישור, אל האחים השוטים  מרוב כבוד לאדמה הוא יעקור היום מטע זיתים  הנה בא משיח קרטון  שלום לך תל אביב משורריך תינו אהבים  נפקי לי עוד ילדה יפה זנונית ובקיאה בכתובים  נופלים מלאכיים הם פארו את הדרך הבלה  שתש ונעלם את מזדקנת, אני מתכלה  והנה בא משיח קרטון",1,"אש,זורם",Norod78/HebrewStageAndLyricsWithNewLines
"לב שהיא דופקת הווג שלה בלונדינית עם נמשים שמנמנה היא מחייכת אליי ואומרת דווקא שווה אני מוציא את הזיפו שלי מיפן ומדליק לה את סיגריית משקה אחד, לפתע ניגשת אליי בחורה ושואלת אותי עם יש לי אש אני מבקש מהברמן עם החולצה תוך כדי שאני נזכר כי אני מכיר עוד במכות אך מחשבותיי לא מתורגמות למעשים, תביא לי בבקשה טקילה וולגרים אשר מפתחים שיחת צעקות על זיונים, בא לי לזיין אותם המוזיקה מתחלפת לליאונרד כהן ולידי מתיישבים שני בחורים הרגליים הארוכות קמה עם חברתה אני מהרהר לעצמי ""גם כן זונה"". בערך ממצה את כל המשקאות רוויי האלכוהול שאני מכיר, הבחורה עם לי בבקשה עוד גוני ווקר ולידו כוס ביזנט ועם התשובה הזאת אני תרצה לשתות עוד משהו אדוני? שואלת אותי ההיא עם השדיים, תביאי כי הוא היישות הכי סקסית בעולם. כי כבר 5 שנים אני מצוי בתוך איזו דמות של זאב בודד אשר חושב אני כבר מודע לכך שאף אחד מהם לא יתורגם עד כדי הגייה ממשית, אותי קצת מחורמן בראשי מתחילים לעבור עשרות משפטי פתיחה אך להביט לה בפנים אך המיני והרגליים השדופות והארוכות שלה עושות עוד בירה, קרלסברג ולידי מתיישבת בחורה עם חברתה אני לא מעז עכשיו כל פעם שאני",1,אש,Norod78/HebrewStageAndLyricsWithNewLines
"אני מדבר. מוקדש לכל מי שלא זכה לצאת משם ולכל מי שהיה שם ויודע על מה אני יושב ומחכה לנסיגה והמ""פ צועק ""מתי במגע"" והשוקולד כבר לא מתוק ובלילה כשהעיניים רואות רק ירוק ונשים רואים כאן רק בחלום כבר שבוע לא ראיתי אור יום ושוב החמליס""ט צועק ""נפילות נפילות"" כמו תוכי לכלב שלי כבר לא אקרא מוקי ומתי הפק""ש יגיע? הם אומרים בקרוב... כבאי בשבילי כבר לא יהיה איש עם כובע גדול וצהוב ו-32 ימים בלי בית אני סוגר כשאשתה קולה אזכר במשהו אחר ומחר שוב 08% תאורת ירח",1,כבאי,Norod78/HebrewStageAndLyricsWithNewLines
